Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,
QB,Lamar Jackson,BAL,26,5,16,16,307,457,3678,24,7,148,821,5,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",JackLa00
QB,Dak Prescott,DAL,30,7,17,17,410,590,4516,36,9,55,242,2,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",PresDa01
QB,Josh Allen,BUF,27,5,17,17,385,579,4306,29,18,111,524,15,0,0,0,0,0.0,0,PFF: 2nd Tm,AlleJo02
RB,Christian McCaffrey,SFO,27,6,16,16,0,0,0,0,0,272,1459,14,67,564,7,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",McCaCh01
RB,Kyren Williams,LAR,23,1,12,11,0,0,0,0,0,228,1144,12,32,206,3,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 2nd Tm",WillKy02
RB,Raheem Mostert,MIA,31,8,15,15,0,0,0,0,0,209,1012,18,25,175,3,0,0.0,0,"FW: 1st Tm All-Conf., SN: 1st Tm",MostRa00
RB,Derrick Henry,TEN,29,7,17,17,2,3,14,2,0,280,1167,12,28,214,0,0,0.0,0,FW: 1st Tm All-Conf.,HenrDe00
FB,Kyle Juszczyk,SFO,32,10,17,16,0,0,0,0,0,5,6,0,14,119,2,0,0.0,0,"AP: 1st Tm, NFLPA: 1st Tm",JuszKy00
FB,Michael Burton,DEN,31,8,17,3,0,0,0,0,0,7,9,0,3,8,0,3,0.0,0,PFF: 1st Tm,BurtMi00
FB,Patrick Ricard,BAL,29,6,17,9,0,0,0,0,0,0,0,0,5,52,1,0,0.0,0,AP: 2nd Tm,RicaPa00
FB,Hunter Luepke,DAL,23,Rook,17,0,0,0,0,0,0,6,19,1,3,18,0,3,0.0,0,PFF: 2nd Tm,LuepHu00
WR,CeeDee Lamb,DAL,24,3,17,17,0,0,0,0,0,14,113,2,135,1749,12,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",LambCe00
WR,Tyreek Hill,MIA,29,7,16,16,0,0,0,0,0,6,15,0,119,1799,13,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",HillTy00
