Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Lamar Jackson%,AFC,BAL,26,5,16,16,307,457,3678,24,7,148,821,5,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",JackLa00
QB,Dak Prescott%,NFC,DAL,30,7,17,17,410,590,4516,36,9,55,242,2,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",PresDa01
QB,Gardner Minshew II+,AFC,IND,27,4,17,13,305,490,3305,15,9,34,100,3,0,0,0,0,0.0,0,,MinsGa00
QB,C.J. Stroud+,AFC,HOU,22,Rook,15,15,319,499,4108,23,5,39,167,3,1,0,0,0,0.0,0,,StroCJ00
QB,Patrick Mahomes%,AFC,KAN,28,6,16,16,401,597,4183,27,14,75,389,0,0,0,0,0,0.0,0,,MahoPa00
QB,Tua Tagovailoa,AFC,MIA,25,3,17,17,388,560,4624,29,14,35,74,0,0,0,0,0,0.0,0,,TagoTu00
QB,Jalen Hurts+,NFC,PHI,25,3,17,17,352,538,3858,23,15,157,605,15,0,0,0,0,0.0,0,,HurtJa00
QB,Matthew Stafford%,NFC,LAR,35,14,15,15,326,521,3965,24,11,21,65,0,0,0,0,0,0.0,0,,StafMa00
QB,Geno Smith+,NFC,SEA,33,10,15,15,323,499,3624,20,9,37,155,1,1,-2,0,0,0.0,0,,SmitGe00
QB,Brock Purdy%,NFC,SFO,24,1,16,16,308,444,4280,31,11,39,144,2,0,0,0,0,0.0,0,,PurdBr00
QB,Baker Mayfield+,NFC,TAM,28,5,17,17,364,566,4044,28,10,62,163,1,0,0,0,0,0.0,0,,MayfBa00
RB,Christian McCaffrey%,NFC,SFO,27,6,16,16,0,0,0,0,0,272,1459,14,67,564,7,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",McCaCh01
RB,Kyren Williams,NFC,LAR,23,1,12,11,0,0,0,0,0,228,1144,12,32,206,3,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 2nd Tm",WillKy02
RB,Raheem Mostert,AFC,MIA,31,8,15,15,0,0,0,0,0,209,1012,18,25,175,3,0,0.0,0,"FW: 1st Tm All-Conf., SN: 1st Tm",MostRa00
RB,Derrick Henry,AFC,TEN,29,7,17,17,2,3,14,2,0,280,1167,12,28,214,0,0,0.0,0,FW: 1st Tm All-Conf.,HenrDe00
RB,James Cook,AFC,BUF,24,1,17,13,0,0,0,0,0,237,1122,2,44,445,4,0,0.0,0,,CookJa01
RB,Jahmyr Gibbs+,NFC,DET,21,Rook,15,3,0,0,0,0,0,182,945,10,52,316,1,0,0.0,0,,GibbJa01
RB,D'Andre Swift,NFC,PHI,24,3,16,15,0,0,0,0,0,229,1049,5,39,214,1,0,0.0,0,,SwifDA00
FB,Kyle Juszczyk%,NFC,SFO,32,10,17,16,0,0,0,0,0,5,6,0,14,119,2,0,0.0,0,"AP: 1st Tm, NFLPA: 1st Tm",JuszKy00
FB,Alec Ingold,AFC,MIA,27,4,17,13,0,0,0,0,0,2,0,0,13,119,0,0,0.0,0,,IngoAl01
Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,
FB,C.J. Ham+,NFC,MIN,30,6,17,5,0,0,0,0,0,1,7,0,7,25,0,3,0.0,0,,HamxC.00
WR,CeeDee Lamb,NFC,DAL,24,3,17,17,0,0,0,0,0,14,113,2,135,1749,12,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",LambCe00
