No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
29,Micah Abernathy,26,S,12,0,195,6-0,Tennessee,2/10/1997,1,1,,AberMi00,ATL
20,DeAundre Alford,26,CB,16,5,177,5-11,Tusculum,11/5/1997,1,3,,AlfoDe00,ATL
25,Tyler Allgeier,23,RB,17,3,220,5-11,BYU,4/15/2000,1,5,Atlanta Falcons / 5th / 151st pick / 2022,AllgTy00,ATL
44,Troy Andersen,24,LB,2,2,239,6-4,Montana St.,4/23/1999,1,1,Atlanta Falcons / 2nd / 58th pick / 2022,AndeTr00,ATL
75,Eli Ankou,29,DT,1,0,325,6-3,UCLA,6/8/1994,6,0,,AnkoEl00,ATL
3,Jessie Bates III,26,S,17,17,200,6-1,Wake Forest,2/26/1997,5,12,Cincinnati Bengals / 2nd / 54th pick / 2018,BateJe00,ATL
74,Travis Bell,25,DT,2,0,305,6-1,Kennesaw St.,10/27/1998,Rook,0,Chicago Bears / 7th / 218th pick / 2023,BellTr01,ATL
65,Matthew Bergeron,23,OL,17,17,323,6-5,Syracuse,2/26/2000,Rook,6,Atlanta Falcons / 2nd / 38th pick / 2023,BergMa00,ATL
83,Chris Blair,26,WR,1,0,198,6-2,"Hinds CC,Alcorn St.",10/6/1997,1,0,,BlaiCh00,ATL
14,Damiere Byrd,30,WR,1,0,175,5-9,South Carolina,1/27/1993,7,0,,ByrdDa00,ATL
93,Calais Campbell,37,DL,17,17,307,6-8,Miami (FL),9/1/1986,15,9,Arizona Cardinals / 2nd / 50th pick / 2008,CampCa99,ATL
0,Lorenzo Carter,28,OLB,17,1,264,6-5,Georgia,12/10/1995,5,3,New York Giants / 3rd / 66th pick / 2018,CartLo01,ATL
67,Drew Dalman,25,OL,14,14,305,6-3,Stanford,10/15/1998,2,5,Atlanta Falcons / 4th / 114th pick / 2021,DalmDr00,ATL
88,Frank Darby,26,WR,1,0,200,6-1,Arizona St.,9/8/1997,2,0,Atlanta Falcons / 6th / 187th pick / 2021,DarbFr00,ATL
50,Tae Davis,27,LB,8,0,222,6-0,Chattanooga,8/14/1996,5,1,,DaviTa00,ATL
48,Bud Dupree,30,OLB,16,16,269,6-4,Kentucky,2/12/1993,8,8,Pittsburgh Steelers / 1st / 22nd pick / 2015,DuprAl00,ATL
