No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
17,Josh Allen,27,QB,17,17,237,6-5,"Reedley,Wyoming",5/21/1996,5,18,Buffalo Bills / 1st / 7th pick / 2018,AlleJo02,BUF
9,Kyle Allen,27,QB,7,0,210,6-3,"Texas A&M,Houston",3/8/1996,5,0,,AlleKy00,BUF
2,Tyler Bass,26,K,17,0,183,5-10,Georgia Southern,2/14/1997,3,3,Buffalo Bills / 6th / 188th pick / 2020,BassTy00,BUF
71,Ryan Bates,26,G,17,0,302,6-4,Penn St.,2/14/1997,4,1,,BateRy02,BUF
47,Christian Benford,23,CB,15,14,205,6-1,Villanova,9/21/2000,1,5,Buffalo Bills / 6th / 185th pick / 2022,BenfCh00,BUF
43,Terrel Bernard,24,LB,17,17,224,6-1,Baylor,5/7/1999,1,11,Buffalo Bills / 3rd / 89th pick / 2022,BernTe00,BUF
79,Spencer Brown,25,T,17,17,311,6-6,Northern Iowa,2/28/1998,2,10,Buffalo Bills / 3rd / 93rd pick / 2021,BrowSp00,BUF
4,James Cook,24,RB,17,13,190,5-11,Georgia,9/25/1999,1,13,Buffalo Bills / 2nd / 63rd pick / 2022,CookJa01,BUF
13,Gabriel Davis,24,WR,17,17,225,6-2,Central Florida,4/1/1999,3,7,Buffalo Bills / 4th / 128th pick / 2020,DaviGa01,BUF
73,Dion Dawkins,29,T,17,17,320,6-5,Temple,4/26/1994,6,13,Buffalo Bills / 2nd / 63rd pick / 2017,DawkDi00,BUF
14,Stefon Diggs,30,WR,17,17,191,6-0,Maryland,11/29/1993,8,12,Minnesota Vikings / 5th / 146th pick / 2015,DiggSt00,BUF
25,Tyrel Dodson,25,LB,17,10,237,6-0,Texas A&M,6/25/1998,3,6,,DodsTy01,BUF
31,Rasul Douglas,28,CB,9,8,209,6-2,"Nassau CC,West Virginia",8/29/1995,6,4,Philadelphia Eagles / 3rd / 99th pick / 2017,DougRa00,BUF
76,David Edwards,26,G,17,0,308,6-6,Wisconsin,3/20/1997,4,1,Los Angeles Rams / 5th / 169th pick / 2019,EdwaDa01,BUF
24,Kaiir Elam,22,CB,3,2,191,6-1,Florida,5/5/2001,1,1,Buffalo Bills / 1st / 23rd pick / 2022,ElamKa00,BUF
57,A.J. Epenesa,25,DE,15,1,260,6-6,Iowa,9/15/1998,3,4,Buffalo Bills / 2nd / 54th pick / 2020,EpenAJ00,BUF
69,Reid Ferguson,29,LS,17,0,235,6-2,LSU,3/24/1994,6,1,,FergRe00,BUF
56,Leonard Floyd,31,RDE,17,16,240,6-3,Georgia,9/8/1992,7,9,Chicago Bears / 1st / 9th pick / 2016,FloyLe00,BUF
98,Poona Ford,28,DT,8,0,310,5-11,Texas,11/19/1995,5,1,,FordPo00,BUF
5,Leonard Fournette,28,RB,2,0,228,6-0,LSU,1/18/1995,6,0,Jacksonville Jaguars / 1st / 4th pick / 2017,FourLe00,BUF
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,BUF
41,Reggie Gilliam,26,FB,17,0,244,6-0,Toledo,8/20/1997,3,0,,GillRe00,BUF
