No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
90,Amare Barno,24,OLB,15,1,245,6-6,"Butler (KS),Virginia Tech",4/26/1999,1,1,Carolina Panthers / 6th / 189th pick / 2022,BarnAm00,CAR
24,Vonn Bell,29,FS,13,13,205,5-11,Ohio St.,12/12/1994,7,4,New Orleans Saints / 2nd / 61st pick / 2016,BellVo00,CAR
3,Raheem Blackshear,24,RB,12,0,190,5-9,"Rutgers,Virginia Tech",6/5/1999,1,1,,BlacRa00,CAR
32,Dicaprio Bootle,26,CB,8,2,180,5-10,Nebraska,9/17/1997,2,1,,BootDi00,CAR
56,Bradley Bozeman,29,C,17,17,317,6-3,Alabama,11/24/1994,5,5,Baltimore Ravens / 6th / 215th pick / 2018,BozeBr00,CAR
95,Derrick Brown,25,DT,17,17,320,6-5,Auburn,4/15/1998,3,10,Carolina Panthers / 1st / 7th pick / 2020,BrowDe05,CAR
0,Brian Burns,25,LOLB,16,16,250,6-5,Florida St.,4/23/1998,4,8,Carolina Panthers / 1st / 16th pick / 2019,BurnBr00,CAR
17,DJ Chark,27,WR,15,11,200,6-3,LSU,9/23/1996,5,4,Jacksonville Jaguars / 2nd / 61st pick / 2018,CharDJ00,CAR
53,Claudin Cherelus,25,LB,6,0,230,6-2,"Massachusetts,Alcorn St.",12/29/1998,Rook,0,,CherCl00,CAR
21,Jeremy Chinn,25,S,12,8,220,6-3,Southern Illinois,2/26/1998,3,3,Carolina Panthers / 2nd / 64th pick / 2020,ChinJe00,CAR
70,Brady Christensen,27,G,1,1,300,6-6,BYU,9/27/1996,2,0,Carolina Panthers / 3rd / 70th pick / 2021,ChriBr00,CAR
27,Alex Cook,24,S,10,2,196,6-1,Washington,5/21/1999,Rook,1,,CookAl00,CAR
63,Austin Corbett,28,G,4,4,305,6-4,Nevada,9/5/1995,5,1,Cleveland Browns / 2nd / 33rd pick / 2018,CorbAu00,CAR
14,Andy Dalton,36,QB,3,1,220,6-2,TCU,10/29/1987,12,1,Cincinnati Bengals / 2nd / 35th pick / 2011,DaltAn00,CAR
33,Tae Davis,27,LB,8,0,222,6-0,Chattanooga,8/14/1996,5,1,,DaviTa00,CAR
