No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
17,Tyson Bagent,23,QB,5,4,213,6-3,Shepherd,6/8/2000,Rook,3,,BageTy00,CHI
47,Micah Baskerville,24,LB,2,0,224,6-0,LSU,10/19/1999,Rook,0,,BaskMi00,CHI
97,Andrew Billings,28,DL,17,17,311,6-1,Baylor,3/6/1995,6,7,Cincinnati Bengals / 4th / 122nd pick / 2016,BillAn00,CHI
39,Josh Blackwell,24,DB,10,0,180,5-11,Duke,4/5/1999,1,1,,BlacJo00,CHI
35,Khari Blasingame,27,FB,16,2,233,6-0,Vanderbilt,7/1/1996,4,0,,BlasKh00,CHI
75,Larry Borom,24,OL,16,6,333,6-5,Missouri,3/30/1999,2,4,Chicago Bears / 5th / 151st pick / 2021,BoroLa00,CHI
9,Jaquan Brisker,24,DB,15,15,200,6-1,"Lackawanna,Penn St.",4/20/1999,1,5,Chicago Bears / 2nd / 48th pick / 2022,BrisJa01,CHI
88,Stephen Carlson,27,TE,1,0,240,6-4,Princeton,12/12/1996,4,0,,CarlSt00,CHI
69,Ja'Tyre Carter,24,OL,10,2,311,6-3,Southern,1/15/1999,1,2,Chicago Bears / 7th / 226th pick / 2022,CartJa04,CHI
10,Chase Claypool,25,WR,3,2,238,6-4,Notre Dame,7/7/1998,3,0,Pittsburgh Steelers / 2nd / 49th pick / 2020,ClayCh01,CHI
55,Dylan Cole,29,LB,16,0,240,6-0,Missouri State,5/19/1994,6,1,,ColeDy00,CHI
74,Aviante Collins,29,OL,1,0,292,6-4,TCU,5/13/1994,6,0,,CollAv00,CHI
64,Nate Davis,27,OL,11,11,316,6-3,Charlotte,9/23/1996,4,5,Tennessee Titans / 3rd / 82nd pick / 2019,DaviNa01,CHI
99,Gervon Dexter,22,DL,17,1,312,6-6,Florida,10/5/2001,Rook,2,Chicago Bears / 2nd / 53rd pick / 2023,DextGe00,CHI
49,Tremaine Edmunds,25,LB,15,15,250,6-5,Virginia Tech,5/2/1998,5,8,Buffalo Bills / 1st / 16th pick / 2018,EdmuTr01,CHI
53,T.J. Edwards,27,LB,17,17,242,6-1,Wisconsin,8/12/1996,4,9,,EdwaTJ02,CHI
25,Darrynton Evans,25,RB,5,0,203,5-10,Appalachian St.,7/9/1998,3,1,Tennessee Titans / 3rd / 93rd pick / 2020,EvanDa02,CHI
67,Dan Feeney,29,OL,16,1,305,6-4,Indiana,5/29/1994,6,2,Los Angeles Chargers / 3rd / 71st pick / 2017,FeenDa00,CHI
1,Justin Fields,24,QB,13,13,227,6-3,"Georgia,Ohio St.",3/5/1999,2,13,Chicago Bears / 1st / 11th pick / 2021,FielJu00,CHI
21,D'Onta Foreman,27,RB,9,8,235,6-0,Texas,4/24/1996,6,3,Houston Texans / 3rd / 89th pick / 2017,ForeDO00,CHI
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,CHI
43,DeMarquis Gates,27,LB,5,0,221,6-2,Mississippi,3/7/1996,1,1,,GateDe00,CHI
16,Trenton Gill,24,P,17,0,219,6-4,North Carolina St.,3/5/1999,1,2,Chicago Bears / 7th / 255th pick / 2022,GillTr01,CHI
6,Kyler Gordon,24,DB,13,7,200,6-0,Washington,12/17/1999,1,3,Chicago Bears / 2nd / 39th pick / 2022,GordKy00,CHI
94,Rasheem Green,26,DL,17,0,279,6-4,USC,5/15/1997,5,1,Seattle Seahawks / 3rd / 79th pick / 2018,GreeRa01,CHI
37,Duron Harmon,32,S,3,1,205,6-0,Rutgers,1/24/1991,10,0,New England Patriots / 3rd / 91st pick / 2013,HarmDu00,CHI
24,Khalil Herbert,25,RB,12,9,212,5-9,"Kansas,Virginia Tech",4/21/1998,2,5,Chicago Bears / 6th / 217th pick / 2021,HerbKh00,CHI
22,Elijah Hicks,24,DB,17,6,200,5-11,California,10/16/1999,1,3,Chicago Bears / 7th / 254th pick / 2022,HickEl00,CHI
20,Travis Homer,25,RB,16,0,202,5-10,Miami (FL),8/7/1998,4,0,Seattle Seahawks / 6th / 204th pick / 2019,HomeTr00,CHI
4,Eddie Jackson,30,FS,12,12,202,6-0,Alabama,12/10/1993,6,4,Chicago Bears / 4th / 112th pick / 2017,JackEd01,CHI
76,Teven Jenkins,25,OL,12,11,321,6-6,Oklahoma St.,3/3/1998,2,5,Chicago Bears / 2nd / 39th pick / 2021,JenkTe00,CHI
80,Collin Johnson,26,WR,3,0,222,6-6,Texas,9/23/1997,3,0,Jacksonville Jaguars / 5th / 165th pick / 2020,JohnCo01,CHI
33,Jaylon Johnson,24,DB,14,14,196,6-0,Utah,4/19/1999,3,10,Chicago Bears / 2nd / 50th pick / 2020,JohnJa13,CHI
26,Quindell Johnson,24,DB,9,0,208,6-2,Memphis,11/5/1999,Rook,1,,JohnQu01,CHI
23,Roschon Johnson,22,RB,15,0,225,6-0,Texas,1/31/2001,Rook,4,Chicago Bears / 4th / 115th pick / 2023,JohnRo07,CHI
70,Braxton Jones,24,OL,11,11,310,6-5,Southern Utah,3/27/1999,1,5,Chicago Bears / 5th / 168th pick / 2022,JoneBr08,CHI
31,Jaylon Jones,26,DB,17,0,190,5-11,Mississippi,10/14/1997,1,1,,JoneJa12,CHI
93,Justin Jones,27,RDT,17,17,309,6-3,North Carolina St.,8/28/1996,5,8,Los Angeles Chargers / 3rd / 84th pick / 2018,JoneJu03,CHI
12,Velus Jones Jr.,26,WR,14,0,200,6-0,"USC,Tennessee",5/11/1997,1,1,Chicago Bears / 3rd / 71st pick / 2022,JoneVe00,CHI
52,Khalid Kareem,25,DL,1,0,268,6-4,Notre Dame,4/28/1998,3,0,Cincinnati Bengals / 5th / 147th pick / 2020,KareKh00,CHI
