No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
48,Cal Adomitis,25,LS,17,0,238,6-2,Pittsburgh,7/9/1998,1,1,,AdomCa00,CIN
26,Tycen Anderson,24,S,7,0,209,6-2,Toledo,6/13/1999,1,0,Cincinnati Bengals / 5th / 166th pick / 2022,AndeTy00,CIN
22,Chidobe Awuzie,28,LCB,15,10,202,6-0,Colorado,5/24/1995,6,4,Dallas Cowboys / 2nd / 60th pick / 2017,AwuzCh00,CIN
49,Joe Bachie,25,LB,16,0,235,6-2,Michigan St.,2/26/1998,3,1,,BachJo01,CIN
51,Markus Bailey,26,LB,17,0,235,6-1,Purdue,3/7/1997,3,1,Cincinnati Bengals / 7th / 215th pick / 2020,BailMa01,CIN
27,Jordan Battle,23,S,17,7,210,6-1,Alabama,12/14/2000,Rook,3,Cincinnati Bengals / 3rd / 95th pick / 2023,BattJo00,CIN
83,Tyler Boyd,29,WR,17,13,203,6-2,Pittsburgh,11/15/1994,7,6,Cincinnati Bengals / 2nd / 55th pick / 2016,BoydTy00,CIN
30,Chase Brown,23,RB,12,0,211,5-10,"Western Michigan,Illinois",3/21/2000,Rook,3,Cincinnati Bengals / 5th / 163rd pick / 2023,BrowCh10,CIN
75,Orlando Brown Jr.,27,T,17,17,345,6-8,Oklahoma,5/2/1996,5,9,Baltimore Ravens / 3rd / 83rd pick / 2018,BrowOr00,CIN
6,Jake Browning,27,QB,9,7,209,6-2,Washington,4/11/1996,1,7,,BrowJa08,CIN
9,Joe Burrow,27,QB,10,10,215,6-4,"Ohio St.,LSU",12/10/1996,3,8,Cincinnati Bengals / 1st / 1st pick / 2020,BurrJo01,CIN
65,Alex Cappa,28,G,17,17,310,6-6,Humboldt St.,1/27/1995,5,7,Tampa Bay Buccaneers / 3rd / 94th pick / 2018,CappAl00,CIN
79,Jackson Carman,23,G,2,0,322,6-5,Clemson,1/22/2000,2,0,Cincinnati Bengals / 2nd / 46th pick / 2021,CarmJa00,CIN
95,Zachary Carter,24,DT,17,5,290,6-4,Florida,4/7/1999,1,3,Cincinnati Bengals / 3rd / 95th pick / 2022,CartZa00,CIN
1,Ja'Marr Chase,23,WR,16,16,201,6-0,LSU,3/1/2000,2,11,Cincinnati Bengals / 1st / 5th pick / 2021,ChasJa00,CIN
35,Jalen Davis,27,CB,16,0,190,5-10,Utah St.,2/2/1996,5,1,,DaviJa06,CIN
59,Akeem Davis-Gaither,26,LB,13,1,228,6-2,Appalachian St.,9/21/1997,3,1,Cincinnati Bengals / 4th / 107th pick / 2020,DaviAk01,CIN
25,Chris Evans,26,RB,8,0,215,5-11,Michigan,10/5/1997,2,0,Cincinnati Bengals / 6th / 202nd pick / 2021,EvanCh02,CIN
61,Cody Ford,27,T,17,1,329,6-3,Oklahoma,12/28/1996,4,2,Buffalo Bills / 2nd / 38th pick / 2019,FordCo00,CIN
56,Devin Harper,25,LB,6,0,238,6-0,Oklahoma St.,5/13/1998,1,0,Dallas Cowboys / 6th / 193rd pick / 2022,HarpDe00,CIN
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,CIN
