No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
40,Matthew Adams,28,LB,17,1,230,6-0,Houston,12/12/1995,5,2,Indianapolis Colts / 7th / 221st pick / 2018,AdamMa00,CLE
84,Jordan Akins,31,TE,17,4,245,6-4,Central Florida,4/19/1992,5,1,Houston Texans / 3rd / 98th pick / 2018,AkinJo00,CLE
37,D'Anthony Bell,27,S,17,4,211,6-1,"Iowa Central,Butler (KS),West Florida",10/17/1996,1,3,,BellDA03,CLE
18,David Bell,23,WR,15,3,212,6-1,Purdue,12/14/2000,1,1,Cleveland Browns / 3rd / 99th pick / 2022,BellDa02,CLE
75,Joel Bitonio,32,G,15,15,320,6-4,Nevada,10/11/1991,9,7,Cleveland Browns / 2nd / 35th pick / 2014,BitoJo00,CLE
13,Corey Bojorquez,27,P,16,0,217,6-0,"Cerritos (CA),New Mexico",9/13/1996,5,3,,BojoCo00,CLE
88,Harrison Bryant,25,TE,17,9,230,6-5,Florida Atlantic,4/23/1998,3,1,Cleveland Browns / 4th / 115th pick / 2020,BryaHa00,CLE
64,Geron Christian,27,T,9,9,315,6-5,Louisville,9/10/1996,5,4,Washington Redskins / 3rd / 74th pick / 2018,ChriGe01,CLE
24,Nick Chubb,28,RB,2,2,227,5-11,Georgia,12/27/1995,5,1,Cleveland Browns / 2nd / 35th pick / 2018,ChubNi00,CLE
78,Jack Conklin,29,T,1,1,308,6-6,Michigan St.,8/17/1994,7,0,Tennessee Titans / 1st / 8th pick / 2016,ConkJa00,CLE
2,Amari Cooper,29,WR,15,15,211,6-1,Alabama,6/17/1994,8,10,Oakland Raiders / 1st / 4th pick / 2015,CoopAm00,CLE
16,Jaelon Darden,24,WR,1,0,175,5-8,North Texas,1/14/1999,2,0,Tampa Bay Buccaneers / 4th / 129th pick / 2021,DardJa00,CLE
22,Grant Delpit,25,S,13,13,208,6-3,LSU,9/20/1998,2,6,Cleveland Browns / 2nd / 44th pick / 2020,DelpGr00,CLE
43,Mohamoud Diabate,22,LB,16,1,225,6-4,"Florida,Utah",5/18/2001,Rook,2,,DiabMo00,CLE
12,Jeff Driskel,30,QB,1,1,231,6-4,"Florida,Louisiana Tech",4/23/1993,5,1,San Francisco 49ers / 6th / 207th pick / 2016,DrisJe00,CLE
68,Michael Dunn,29,G,12,2,315,6-5,Maryland,8/28/1994,3,1,,DunnMi01,CLE
96,Jordan Elliott,26,DT,17,14,303,6-4,"Texas,Missouri",11/23/1997,3,8,Cleveland Browns / 3rd / 88th pick / 2020,ElliJo02,CLE
23,Martin Emerson,23,CB,16,12,201,6-2,Mississippi St.,9/27/2000,1,6,Cleveland Browns / 3rd / 68th pick / 2022,EmerMa00,CLE
42,Tony Fields,24,LB,17,4,222,6-0,"Arizona,West Virginia",6/18/1999,2,4,Cleveland Browns / 5th / 153rd pick / 2021,FielTo00,CLE
15,Joe Flacco,38,QB,5,5,230,6-6,"Pittsburgh,Delaware",1/16/1985,15,5,Baltimore Ravens / 1st / 18th pick / 2008,FlacJo00,CLE
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,CLE
34,Jerome Ford,24,RB,17,12,210,5-10,"Alabama,Cincinnati",9/12/1999,1,6,Cleveland Browns / 5th / 156th pick / 2022,FordJe00,CLE
28,Mike Ford,28,LB,16,1,195,6-0,SE Missouri St.,8/4/1995,5,2,,FordMi01,CLE
95,Myles Garrett,28,DE,16,16,272,6-4,Texas A&M,12/29/1995,6,20,Cleveland Browns / 1st / 1st pick / 2017,GarrMy00,CLE
3,Marquise Goodwin,33,WR,12,0,185,5-9,Texas,11/19/1990,10,1,Buffalo Bills / 3rd / 78th pick / 2013,GoodMa00,CLE
31,Vincent Gray,24,DB,1,0,192,6-2,Michigan,12/28/1999,1,0,,GrayVi00,CLE
38,A.J. Green,25,CB,3,0,198,6-2,Oklahoma St.,6/9/1998,3,0,,GreeAJ00,CLE
39,Matt Haack,29,P,1,0,205,6-0,Arizona St.,7/25/1994,6,0,,HaacMa00,CLE
25,Kahlef Hailassie,23,CB,9,1,195,6-1,"Oregon,Independence (KS),Western Kentucky",11/9/2000,Rook,1,,HailKa00,CLE
30,Duron Harmon,32,S,4,0,205,6-0,Rutgers,1/24/1991,10,1,New England Patriots / 3rd / 91st pick / 2013,HarmDu00,CLE
53,Nick Harris,25,C,17,2,293,6-1,Washington,11/13/1998,3,2,Cleveland Browns / 5th / 160th pick / 2020,HarrNi01,CLE
93,Shelby Harris,32,DT,17,7,288,6-2,Illinois St.,8/11/1991,9,4,Oakland Raiders / 7th / 235th pick / 2014,HarrSh00,CLE
33,Ronnie Hickman,22,S,10,4,209,6-1,Ohio St.,10/11/2001,Rook,3,,HickRo00,CLE
7,Dustin Hopkins,33,K,15,0,210,6-2,Florida St.,10/1/1990,8,4,Buffalo Bills / 6th / 177th pick / 2013,HopkDu00,CLE
66,James Hudson,24,T,16,7,313,6-5,"Michigan,Cincinnati",5/13/1999,2,3,Cleveland Browns / 4th / 110th pick / 2021,HudsJa00,CLE
47,Charley Hughlett,33,LS,17,0,248,6-4,Central Florida,5/16/1990,8,1,,HughCh01,CLE
27,Kareem Hunt,28,RB,15,2,216,5-11,Toledo,8/6/1995,6,3,Kansas City Chiefs / 3rd / 86th pick / 2017,HuntKa00,CLE
90,Maurice Hurst Jr.,28,DT,13,0,290,6-2,Michigan,5/9/1995,5,2,Oakland Raiders / 5th / 140th pick / 2018,HursMa00,CLE
62,Siaki Ika,23,DT,4,0,335,6-3,"LSU,Baylor",11/7/2000,Rook,0,Cleveland Browns / 3rd / 98th pick / 2023,IkaxSi00,CLE
31,Deon Jackson,24,RB,1,0,218,6-0,Duke,2/18/1999,2,0,,JackDe02,CLE
79,Dawand Jones,22,T,11,9,374,6-8,Ohio St.,8/6/2001,Rook,4,Cleveland Browns / 4th / 111th pick / 2023,JoneDa07,CLE
92,Sam Kamara,26,DE,2,0,272,6-0,Stony Brook,12/21/1997,2,0,,KamaSa00,CLE
41,John Kelly,27,RB,0,0,205,5-10,Tennessee,10/4/1996,5,0,Los Angeles Rams / 6th / 176th pick / 2018,KellJo00,CLE
51,Jordan Kunaszyk,27,LB,5,0,235,6-3,California,10/15/1996,4,0,,KunaJo00,CLE
48,Tanner McCalister,22,S,3,0,191,5-11,"Oklahoma St.,Ohio St.",1/27/2001,Rook,0,,McCaTa00,CLE
57,Isaiah McGuire,22,DE,4,1,268,6-4,Missouri,7/27/2001,Rook,1,Cleveland Browns / 4th / 126th pick / 2023,McGuIs00,CLE
26,Rodney McLeod,33,S,10,5,185,5-10,Virginia,6/23/1990,11,2,,McLeRo00,CLE
