No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
45,Nate Adkins,24,TE,10,1,252,6-3,"East Tennessee St.,South Carolina",7/9/1999,Rook,0,,AdkiNa00,DEN
99,Zach Allen,26,DE,17,17,285,6-5,Boston Col.,8/20/1997,4,6,Arizona Cardinals / 3rd / 65th pick / 2019,AlleZa01,DEN
75,Quinn Bailey,28,T,17,1,323,6-6,Arizona St.,10/18/1995,4,2,,BailQu00,DEN
83,Michael Bandy,26,WR,1,0,190,5-10,San Diego,12/5/1997,2,0,,BandMi00,DEN
21,Essang Bassey,25,DB,4,1,190,5-10,Wake Forest,8/12/1998,3,0,,BassEs01,DEN
72,Garett Bolles,31,T,17,17,300,6-5,"Snow College (UT),Utah",5/27/1992,6,8,Denver Broncos / 1st / 20th pick / 2017,BollGa00,DEN
42,Nik Bonitto,24,OLB,15,4,240,6-3,Oklahoma,9/26/1999,1,3,Denver Broncos / 2nd / 64th pick / 2022,BoniNi00,DEN
56,Baron Browning,24,OLB,10,9,240,6-3,Ohio St.,2/19/1999,2,4,Denver Broncos / 3rd / 105th pick / 2021,BrowBa01,DEN
20,Michael Burton,31,FB,17,3,247,6-0,Rutgers,2/1/1992,8,0,Detroit Lions / 5th / 168th pick / 2015,BurtMi00,DEN
55,Frank Clark,30,DE,2,0,272,6-3,Michigan,6/14/1993,8,0,Seattle Seahawks / 2nd / 63rd pick / 2015,ClarFr01,DEN
0,Jonathon Cooper,25,OLB,17,17,257,6-4,Ohio St.,1/8/1998,2,8,Denver Broncos / 7th / 239th pick / 2021,CoopJo02,DEN
79,Lloyd Cushenberry III,26,C,17,17,315,6-4,LSU,11/22/1997,3,7,Denver Broncos / 3rd / 83rd pick / 2020,CushLl00,DEN
9,Riley Dixon,30,P,17,0,221,6-4,Syracuse,8/24/1993,7,2,Denver Broncos / 7th / 228th pick / 2016,DixoRi00,DEN
13,Phillip Dorsett,30,WR,2,1,185,5-10,Miami (FL),1/5/1993,8,0,Indianapolis Colts / 1st / 29th pick / 2015,DorsPh00,DEN
80,Greg Dulcich,23,TE,2,1,245,6-4,UCLA,3/26/2000,1,0,Denver Broncos / 3rd / 80th pick / 2022,DulcGr00,DEN
73,Cameron Fleming,31,T,6,1,320,6-5,Stanford,9/3/1992,9,1,New England Patriots / 4th / 140th pick / 2014,FlemCa00,DEN
48,Mitchell Fraboni,27,LS,17,0,223,6-2,Arizona St.,10/28/1996,1,1,,FrabMi00,DEN
95,Elijah Garcia,25,DL,3,0,302,6-5,Rice,3/11/1998,1,0,,GarcEl00,DEN
5,Randy Gregory,31,LB,4,3,242,6-5,"Arizona Western,Nebraska",11/23/1992,8,1,Dallas Cowboys / 2nd / 60th pick / 2015,GregRa00,DEN
92,Jonathan Harris,27,DL,17,5,295,6-5,Lindenwood,8/4/1996,4,3,,HarrJo05,DEN
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,DEN
91,Matt Henningsen,24,DE,17,0,291,6-3,Wisconsin,5/1/1999,1,1,Denver Broncos / 6th / 206th pick / 2022,HennMa01,DEN
17,Lil'Jordan Humphrey,25,WR,17,8,225,6-4,Texas,4/19/1998,4,2,,HumpLi01,DEN
59,Thomas Incoom,24,OLB,4,0,265,6-2,"Valdosta St.,Central Michigan",2/19/1999,Rook,0,,IncoTh00,DEN
22,Kareem Jackson,35,SS,8,8,196,5-10,Alabama,4/10/1988,13,3,Houston Texans / 1st / 20th pick / 2010,JackKa99,DEN
10,Jerry Jeudy,24,WR,16,11,195,6-1,Alabama,4/24/1999,3,7,Denver Broncos / 1st / 15th pick / 2020,JeudJe00,DEN
47,Josey Jewell,29,LB,16,15,236,6-1,Iowa,12/25/1994,5,6,Denver Broncos / 4th / 106th pick / 2018,JeweJo00,DEN
89,Brandon Johnson,25,WR,13,2,195,6-2,"Tennessee,Central Florida",7/26/1998,1,3,,JohnBr23,DEN
93,D.J. Jones,28,DT,16,16,305,6-0,"East Mississippi CC,Mississippi",1/19/1995,6,6,San Francisco 49ers / 6th / 198th pick / 2017,JoneD.01,DEN
85,Lucas Krull,25,TE,7,2,260,6-6,"Jefferson,Florida,Pittsburgh",7/11/1998,1,1,,KrulLu00,DEN
96,Tyler Lancaster,29,NT,3,0,313,6-3,Northwestern,11/4/1994,5,0,,LancTy00,DEN
6,P.J. Locke,26,S,12,8,202,5-10,Texas,2/12/1997,3,3,,LockPJ00,DEN
16,Wil Lutz,29,K,17,0,184,5-11,Georgia St.,7/7/1994,7,3,,LutzWi00,DEN
84,Chris Manhertz,31,TE,16,4,235,6-6,Canisius,4/10/1992,7,0,,ManhCh00,DEN
27,Damarri Mathis,24,CB,17,6,195,5-11,Pittsburgh,4/12/1999,1,2,Denver Broncos / 4th / 115th pick / 2022,MathDa00,DEN
69,Mike McGlinchey,29,T,16,16,315,6-8,Notre Dame,8/29/1994,5,7,San Francisco 49ers / 1st / 9th pick / 2018,McGlMi00,DEN
38,Jaleel McLaughlin,23,RB,17,3,187,5-7,"Notre Dame (OH),Youngstown St.",9/13/2000,Rook,4,,McLaJa00,DEN
29,Ja'Quan McMillian,23,CB,16,3,183,5-10,East Carolina,6/4/2000,1,2,,McMiJa00,DEN
77,Quinn Meinerz,25,OL,17,17,320,6-3,Wisconsin–Whitewater,11/15/1998,2,7,Denver Broncos / 3rd / 98th pick / 2021,MeinQu02,DEN
19,Marvin Mims,21,WR,16,7,182,5-11,Oklahoma,3/19/2002,Rook,5,Denver Broncos / 2nd / 63rd pick / 2023,MimsMa00,DEN
23,Fabian Moreau,29,CB,16,11,204,6-0,UCLA,4/9/1994,6,4,Washington Redskins / 3rd / 81st pick / 2017,MoreFa00,DEN
37,Riley Moss,23,CB,14,0,193,6-0,Iowa,3/3/2000,Rook,1,Denver Broncos / 3rd / 83rd pick / 2023,MossRi00,DEN
57,Ben Niemann,28,LB,7,0,235,6-2,Iowa,7/27/1995,5,0,,NiemBe00,DEN
25,Samaje Perine,28,RB,17,1,236,5-10,Oklahoma,9/16/1995,6,6,Washington Redskins / 4th / 114th pick / 2017,PeriSa00,DEN
51,Ronnie Perkins,24,OLB,7,0,253,6-3,Oklahoma,9/29/1999,1,0,New England Patriots / 3rd / 96th pick / 2021,PerkRo00,DEN
74,Ben Powers,27,G,17,17,310,6-4,Oklahoma,10/29/1996,4,7,Baltimore Ravens / 4th / 123rd pick / 2019,PoweBe00,DEN
98,Mike Purcell,32,DL,16,10,328,6-3,Wyoming,4/20/1991,9,4,,PurcMi00,DEN
41,Drew Sanders,22,LB,17,4,233,6-5,"Alabama,Arkansas",12/31/2001,Rook,2,Denver Broncos / 3rd / 67th pick / 2023,SandDr00,DEN
87,David Sills,27,WR,3,1,211,6-3,West Virginia,5/29/1996,2,0,,SillDa01,DEN
31,Justin Simmons,30,FS,15,15,202,6-2,Boston Col.,11/19/1993,7,9,Denver Broncos / 3rd / 98th pick / 2016,SimmJu00,DEN
49,Alex Singleton,30,LB,17,16,240,6-2,Montana St.,12/7/1993,4,6,,SingAl00,DEN
34,JL Skinner,22,S,2,0,220,6-4,Boise St.,4/16/2001,Rook,0,Denver Broncos / 6th / 183rd pick / 2023,SkinJL00,DEN
81,Tre'Quan Smith,27,WR,1,0,210,6-2,Central Florida,1/7/1996,5,0,New Orleans Saints / 3rd / 91st pick / 2018,SmitTr03,DEN
1,Tremon Smith,27,CB,17,0,190,6-0,Central Arkansas,7/20/1996,5,1,Kansas City Chiefs / 6th / 196th pick / 2018,SmitTr04,DEN
30,Caden Sterns,24,S,1,0,207,6-1,Texas,11/2/1999,2,0,Denver Broncos / 5th / 152nd pick / 2021,SterCa00,DEN
4,Jarrett Stidham,27,QB,3,2,215,6-3,"Baylor,Auburn",8/8/1996,4,2,New England Patriots / 4th / 133rd pick / 2019,StidJa00,DEN
40,Justin Strnad,27,LB,17,0,235,6-3,Wake Forest,8/21/1996,2,1,Denver Broncos / 5th / 178th pick / 2020,StrnJu00,DEN
2,Patrick Surtain II,23,CB,17,17,202,6-2,Alabama,4/14/2000,2,8,Denver Broncos / 1st / 9th pick / 2021,SurtPa01,DEN
14,Courtland Sutton,28,WR,16,14,216,6-4,SMU,10/10/1995,5,7,Denver Broncos / 2nd / 40th pick / 2018,SuttCo00,DEN
82,Adam Trautman,26,TE,17,12,253,6-5,Dayton,2/5/1997,3,2,New Orleans Saints / 3rd / 105th pick / 2020,TrauAd00,DEN
32,Delarrin Turner-Yell,24,S,16,2,200,5-11,Oklahoma,12/16/1999,1,1,Denver Broncos / 5th / 152nd pick / 2022,TurnDe02,DEN
39,Dwayne Washington,29,RB,13,0,223,6-1,Washington,4/24/1994,7,0,Detroit Lions / 7th / 236th pick / 2016,WashDw00,DEN
60,Luke Wattenberg,26,C,16,0,300,6-5,Washington,9/10/1997,1,1,Denver Broncos / 5th / 171st pick / 2022,WattLu00,DEN
33,Javonte Williams,23,RB,16,13,220,5-10,North Carolina,4/25/2000,2,6,Denver Broncos / 2nd / 35th pick / 2021,WillJa10,DEN
3,Russell Wilson,35,QB,15,15,206,5-11,"Wisconsin,North Carolina St.",11/29/1988,11,12,Seattle Seahawks / 3rd / 75th pick / 2012,WilsRu00,DEN
,Team Total,26.7,,17,,240.2,6-2.1,,,3.8,,,,DEN
