No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
92,Tyson Alualu,36,DL,2,1,304,6-3,California,5/12/1987,13,0,Jacksonville Jaguars / 1st / 10th pick / 2010,AluaTy99,DET
34,Alex Anzalone,29,LB,16,16,238,6-3,Florida,9/22/1994,6,6,New Orleans Saints / 3rd / 76th pick / 2017,AnzaAl00,DET
74,Kayode Awosika,25,G,15,3,315,6-3,Buffalo,10/27/1998,2,2,,AwosKa00,DET
17,Michael Badgley,28,K,4,0,188,5-10,Miami (FL),7/28/1995,5,1,,BadgMi00,DET
55,Derrick Barnes,24,LB,16,13,240,6-0,Purdue,5/29/1999,2,5,Detroit Lions / 4th / 113th pick / 2021,BarnDe02,DET
90,Quinton Bohanna,24,DT,3,2,360,6-4,Kentucky,3/16/1999,2,1,Dallas Cowboys / 6th / 192nd pick / 2021,BohaQu00,DET
32,Brian Branch,22,DB,15,9,203,6-0,Alabama,10/22/2001,Rook,4,Detroit Lions / 2nd / 45th pick / 2023,BranBr00,DET
10,Teddy Bridgewater,31,QB,1,0,212,6-2,Louisville,11/10/1992,9,0,Minnesota Vikings / 1st / 32nd pick / 2014,BridTe00,DET
96,Isaiah Buggs,27,DT,10,3,335,6-3,"Mississippi Gulf Coast CC,Alabama",8/24/1996,4,2,Pittsburgh Steelers / 6th / 192nd pick / 2019,BuggIs00,DET
45,Jason Cabinda,27,FB,4,0,235,6-1,Penn St.,3/17/1996,5,0,,CabiJa00,DET
46,Jack Campbell,23,LB,17,12,243,6-5,Iowa,8/22/2000,Rook,5,Detroit Lions / 1st / 18th pick / 2023,CampJa04,DET
79,John Cominsky,28,DL,16,11,285,6-5,Charleston (WV),11/22/1995,4,4,Atlanta Falcons / 4th / 135th pick / 2019,ComiJo00,DET
47,Scott Daly,29,LS,8,0,245,6-1,Notre Dame,2/7/1994,2,1,,DalySc01,DET
86,Darrell Daniels,29,TE,3,0,256,6-3,Washington,11/22/1994,6,0,,DaniDa02,DET
68,Taylor Decker,29,T,15,15,318,6-7,Ohio St.,8/23/1994,7,8,Detroit Lions / 1st / 16th pick / 2016,DeckTa00,DET
30,Khalil Dorsey,25,CB,13,2,185,5-8,Northern Arizona,3/31/1998,3,1,,DorsKh00,DET
83,Dylan Drummond,23,WR,1,0,186,6-0,Eastern Michigan,1/17/2000,Rook,0,,DrumDy00,DET
86,Anthony Firkser,28,TE,2,0,241,6-2,Harvard,2/19/1995,5,0,,FirkAn00,DET
3,Jack Fox,27,P,17,0,218,6-2,Rice,9/1/1996,3,1,,FoxxJa01,DET
76,Connor Galvin,23,OL,1,0,300,6-7,Baylor,3/11/2000,Rook,0,,GalvCo00,DET
