No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
23,Jaire Alexander,26,CB,7,7,196,5-10,Louisville,2/9/1997,5,2,Green Bay Packers / 1st / 18th pick / 2018,AlexJa00,GNB
39,Zayne Anderson,26,S,10,0,206,6-2,BYU,1/3/1997,2,0,,AndeZa02,GNB
69,David Bakhtiari,32,T,1,1,310,6-4,Colorado,9/30/1991,10,1,Green Bay Packers / 4th / 109th pick / 2013,BakhDa00,GNB
35,Corey Ballentine,27,CB,14,6,196,5-11,Washburn,4/13/1996,4,2,New York Giants / 6th / 180th pick / 2019,BallCo00,GNB
51,Keshawn Banks,24,LB,0,0,251,6-3,San Diego St.,12/21/1999,Rook,0,,BankKe00,GNB
94,Karl Brooks,23,DL,17,0,296,6-3,Bowling Green,5/8/2000,Rook,2,Green Bay Packers / 6th / 179th pick / 2023,BrooKa00,GNB
59,De'Vondre Campbell,30,LILB,11,11,232,6-4,Minnesota,7/1/1993,7,5,Atlanta Falcons / 4th / 115th pick / 2016,CampDe00,GNB
17,Anders Carlson,25,K,17,0,219,6-5,Auburn,6/16/1998,Rook,1,Green Bay Packers / 6th / 207th pick / 2023,CarlAn00,GNB
97,Kenny Clark,28,DL,17,17,314,6-3,UCLA,10/4/1995,7,10,Green Bay Packers / 1st / 27th pick / 2016,ClarKe01,GNB
8,Sean Clifford,25,QB,2,0,218,6-2,Penn St.,7/14/1998,Rook,0,Green Bay Packers / 5th / 149th pick / 2023,ClifSe00,GNB
57,Brenton Cox,23,LB,4,0,250,6-4,"Georgia,Florida",1/30/2000,Rook,0,,CoxxBr02,GNB
81,Josiah Deguara,26,TE,15,4,238,6-2,Cincinnati,2/14/1997,3,1,Green Bay Packers / 3rd / 94th pick / 2020,DeguJo00,GNB
28,AJ Dillon,25,RB,15,6,247,6-0,Boston Col.,5/2/1998,3,6,Green Bay Packers / 2nd / 62nd pick / 2020,DillAJ00,GNB
87,Romeo Doubs,23,WR,17,16,204,6-2,Nevada,4/13/2000,1,7,Green Bay Packers / 4th / 132nd pick / 2022,DoubRo00,GNB
29,Rasul Douglas,28,RCB,7,7,209,6-2,"Nassau CC,West Virginia",8/29/1995,6,2,Philadelphia Eagles / 3rd / 99th pick / 2017,DougRa00,GNB
32,Kenyan Drake,29,RB,1,0,216,6-1,Alabama,1/26/1994,7,0,Miami Dolphins / 3rd / 73rd pick / 2016,DrakKe00,GNB
55,Kingsley Enagbare,23,LB,17,4,258,6-4,South Carolina,1/18/2000,1,3,Green Bay Packers / 5th / 179th pick / 2022,EnagKi00,GNB
20,Rudy Ford,29,S,13,9,200,6-0,Auburn,11/1/1994,6,3,Arizona Cardinals / 6th / 208th pick / 2017,FordRu00,GNB
38,Innis Gaines,25,S,4,0,202,6-1,TCU,8/29/1998,2,0,,GainIn00,GNB
52,Rashan Gary,26,LB,17,13,277,6-5,Michigan,12/3/1997,4,6,Green Bay Packers / 1st / 12th pick / 2019,GaryRa00,GNB
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,GNB
