No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
16,Matt Ammendola,27,K,5,0,195,5-9,Oklahoma St.,12/11/1996,2,0,,AmmeMa00,HOU
0,Adrian Amos,30,S,5,0,214,6-0,Penn St.,4/29/1993,8,1,Chicago Bears / 5th / 142nd pick / 2015,AmosAd00,HOU
51,Will Anderson,22,DE,15,13,243,6-4,Alabama,9/2/2001,Rook,10,Houston Texans / 1st / 3rd pick / 2023,AndeWi01,HOU
25,Grayland Arnold,26,S,8,0,187,5-10,Baylor,9/4/1997,3,0,,ArnoGr01,HOU
27,Alex Austin,22,CB,3,0,191,6-1,Oregon St.,5/22/2001,Rook,0,Buffalo Bills / 7th / 252nd pick / 2023,AustAl00,HOU
95,Derek Barnett,27,DE,6,4,259,6-3,Tennessee,6/25/1996,6,2,Philadelphia Eagles / 1st / 14th pick / 2017,BarnDe01,HOU
47,Andrew Beck,27,FB,15,12,255,6-3,Texas,5/15/1996,4,1,,BeckAn01,HOU
22,Mike Boone,28,S,9,0,206,5-10,Cincinnati,6/30/1995,5,0,,BoonMi00,HOU
17,Kris Boyd,27,CB,2,0,201,5-11,Texas,9/12/1996,4,0,Minnesota Vikings / 7th / 217th pick / 2019,BoydKr00,HOU
64,Nick Broeker,23,G,3,0,305,6-5,Mississippi,10/7/2000,Rook,0,Buffalo Bills / 7th / 230th pick / 2023,BroeNi00,HOU
85,Noah Brown,27,WR,10,7,225,6-2,Ohio St.,1/6/1996,6,5,Dallas Cowboys / 7th / 239th pick / 2017,BrowNo00,HOU
53,Blake Cashman,27,MLB,14,13,235,6-1,Minnesota,5/10/1996,4,7,New York Jets / 5th / 157th pick / 2019,CashBl00,HOU
72,Geron Christian,27,T,1,0,315,6-5,Louisville,9/10/1996,5,0,Washington Redskins / 3rd / 74th pick / 2018,ChriGe01,HOU
96,Maliek Collins,28,DT,16,16,310,6-2,Nebraska,4/8/1995,7,8,Dallas Cowboys / 3rd / 67th pick / 2016,CollMa00,HOU
12,Nico Collins,24,WR,15,10,222,6-4,Michigan,3/19/1999,2,11,Houston Texans / 3rd / 89th pick / 2021,CollNi00,HOU
