No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
56,Yasir Abdullah,23,LB,5,0,240,6-1,Louisville,4/12/2000,Rook,0,Jacksonville Jaguars / 5th / 136th pick / 2023,AbduYa00,JAX
39,Jamal Agnew,28,WR,11,1,190,5-10,San Diego,4/3/1995,6,2,Detroit Lions / 5th / 165th pick / 2017,AgneJa00,JAX
19,Matt Barkley,33,QB,1,0,234,6-2,USC,9/8/1990,10,0,Philadelphia Eagles / 4th / 98th pick / 2013,BarkMa00,JAX
78,Ben Bartch,25,G,8,3,315,6-6,Saint John's (MN),7/22/1998,3,2,Jacksonville Jaguars / 4th / 116th pick / 2020,BartBe00,JAX
3,C.J. Beathard,30,QB,7,1,215,6-2,Iowa,11/16/1993,6,1,San Francisco 49ers / 3rd / 104th pick / 2017,BeatC.00,JAX
4,Tank Bigsby,22,RB,17,0,215,5-11,Auburn,8/30/2001,Rook,1,Jacksonville Jaguars / 3rd / 88th pick / 2023,BigsTa00,JAX
97,Ross Blacklock,25,DT,1,0,290,6-3,TCU,7/9/1998,3,0,Houston Texans / 2nd / 40th pick / 2020,BlacRo00,JAX
90,Angelo Blackson,31,DT,11,0,318,6-4,Auburn,11/14/1992,8,2,Tennessee Titans / 4th / 100th pick / 2015,BlacAn00,JAX
21,Christian Braswell,24,CB,3,0,185,5-11,Rutgers,9/27/1999,Rook,0,Jacksonville Jaguars / 6th / 202nd pick / 2023,BrasCh00,JAX
67,Chandler Brewer,26,OL,1,0,320,6-6,Middle Tenn. St.,6/12/1997,4,0,,BrewCh01,JAX
30,Montaric Brown,24,CB,12,6,190,6-0,Arkansas,8/24/1999,1,2,Jacksonville Jaguars / 7th / 222nd pick / 2022,BrowMo00,JAX
29,Tevaughn Campbell,30,CB,2,0,200,6-0,Regina,6/14/1993,3,0,,CampTe00,JAX
32,Tyson Campbell,23,CB,11,11,195,6-1,Georgia,3/17/2000,2,4,Jacksonville Jaguars / 2nd / 33rd pick / 2021,CampTy01,JAX
45,K'Lavon Chaisson,24,OLB,17,0,254,6-3,LSU,7/25/1999,3,1,Jacksonville Jaguars / 1st / 20th pick / 2020,ChaiKL00,JAX
5,Andre Cisco,23,S,15,15,210,6-0,Syracuse,3/23/2000,2,6,Jacksonville Jaguars / 3rd / 65th pick / 2021,CiscAn00,JAX
76,Ezra Cleveland,25,OL,9,5,312,6-6,Boise St.,5/8/1998,3,3,Minnesota Vikings / 2nd / 58th pick / 2020,ClevEz00,JAX
9,Logan Cooke,28,P,17,0,230,6-5,Mississippi St.,7/28/1995,5,2,Jacksonville Jaguars / 7th / 247th pick / 2018,CookLo00,JAX
14,Elijah Cooks,25,WR,9,0,215,6-4,"Nevada,San Jose St.",10/13/1998,Rook,0,,CookEl00,JAX
17,Evan Engram,29,TE,17,15,240,6-3,Mississippi,9/2/1994,6,8,New York Giants / 1st / 23rd pick / 2017,EngrEv00,JAX
1,Travis Etienne,24,RB,17,17,215,5-10,Clemson,1/26/1999,1,9,Jacksonville Jaguars / 1st / 25th pick / 2021,EtieTr00,JAX
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,JAX
89,Luke Farrell,26,TE,17,8,250,6-5,Ohio St.,10/14/1997,2,1,Jacksonville Jaguars / 5th / 145th pick / 2021,FarrLu00,JAX
94,Folorunso Fatukasi,28,NT,16,16,318,6-4,Connecticut,3/4/1995,5,7,New York Jets / 6th / 180th pick / 2018,FatuFo00,JAX
79,Luke Fortner,25,OL,17,17,307,6-4,Kentucky,5/15/1998,1,8,Jacksonville Jaguars / 3rd / 65th pick / 2022,FortLu01,JAX
96,Adam Gotsis,31,DL,17,7,290,6-4,Georgia Tech,9/23/1992,7,4,Denver Broncos / 2nd / 63rd pick / 2016,GotsAd00,JAX
52,DaVon Hamilton,26,DT,8,2,335,6-4,Ohio St.,2/1/1997,3,1,Jacksonville Jaguars / 3rd / 73rd pick / 2020,HamiDa02,JAX
73,Blake Hance,27,OL,17,1,310,6-5,Northwestern,1/11/1996,2,2,,HancBl00,JAX
83,Jacob Harris,26,WR,2,0,211,6-5,"Western Kentucky,Central Florida",4/16/1997,2,0,Los Angeles Rams / 4th / 141st pick / 2021,HarrJa03,JAX
77,Anton Harrison,21,T,17,17,315,6-4,Oklahoma,2/2/2002,Rook,9,Jacksonville Jaguars / 1st / 27th pick / 2023,HarrAn00,JAX
22,Jamycal Hasty,27,RB,3,0,205,5-8,Baylor,9/12/1996,3,0,,HastJa02,JAX
37,Tre Herndon,27,CB,16,4,185,5-11,Vanderbilt,3/5/1996,5,2,,HernTr00,JAX
41,Josh Hines-Allen,26,OLB,17,17,255,6-5,Kentucky,7/13/1997,4,11,Jacksonville Jaguars / 1st / 7th pick / 2019,AlleJo03,JAX
2,Rayshawn Jenkins,29,SS,17,17,220,6-1,Miami (FL),1/25/1994,6,7,Los Angeles Chargers / 4th / 113th pick / 2017,JenkRa00,JAX
26,Antonio Johnson,22,S,13,3,198,6-2,Texas A&M,10/29/2001,Rook,2,Jacksonville Jaguars / 5th / 160th pick / 2023,JohnAn07,JAX
57,Caleb Johnson,25,LB,17,0,220,6-2,Houston Christian,7/28/1998,2,1,,JohnCa04,JAX
25,D'Ernest Johnson,27,RB,17,0,208,5-10,South Florida,2/27/1996,4,2,,JohnDE04,JAX
15,Tim Jones,25,WR,17,2,200,6-1,Southern Miss,5/16/1998,1,1,,JoneTi00,JAX
7,Zay Jones,28,WR,9,7,200,6-2,East Carolina,3/30/1995,6,3,Buffalo Bills / 2nd / 37th pick / 2017,JoneZa00,JAX
34,Gregory Junior,24,CB,9,0,190,6-0,Ouachita Baptist,6/21/1999,1,1,Jacksonville Jaguars / 6th / 197th pick / 2022,JuniGr00,JAX
13,Christian Kirk,27,WR,12,12,200,5-11,Texas A&M,11/18/1996,5,7,Arizona Cardinals / 2nd / 47th pick / 2018,KirkCh01,JAX
93,Tyler Lacy,24,DE,15,0,279,6-4,Oklahoma St.,11/10/1999,Rook,1,Jacksonville Jaguars / 4th / 130th pick / 2023,LacyTy00,JAX
16,Trevor Lawrence,24,QB,16,16,220,6-6,Clemson,10/6/1999,2,14,Jacksonville Jaguars / 1st / 1st pick / 2021,LawrTr00,JAX
