No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
73,Nick Allegretti,27,G,17,1,320,6-4,Illinois,4/21/1996,4,1,Kansas City Chiefs / 7th / 216th pick / 2019,AlleNi00,KAN
97,Felix Anudike-Uzomah,21,DE,17,0,255,6-4,Kansas St.,1/24/2002,Rook,1,Kansas City Chiefs / 1st / 31st pick / 2023,AnudFe00,KAN
81,Blake Bell,32,TE,17,3,252,6-6,Oklahoma,8/7/1991,8,0,San Francisco 49ers / 4th / 117th pick / 2015,BellBl00,KAN
32,Nick Bolton,23,LB,8,8,237,5-11,Missouri,3/10/2000,2,4,Kansas City Chiefs / 2nd / 58th pick / 2021,BoltNi00,KAN
40,Ekow Boye-Doe,24,CB,6,0,177,6-0,Kansas St.,11/4/1999,Rook,0,,BoyeEk00,KAN
26,Deon Bush,30,DB,6,0,200,6-0,Miami (FL),8/14/1993,7,0,Chicago Bears / 4th / 124th pick / 2016,BushDe00,KAN
89,Matt Bushman,28,TE,1,0,245,6-5,BYU,11/3/1995,2,0,,BushMa00,KAN
7,Harrison Butker,28,K,17,0,205,6-4,Georgia Tech,7/14/1995,6,5,Carolina Panthers / 7th / 233rd pick / 2017,ButkHa00,KAN
66,Mike Caliendo,26,OL,8,0,301,6-4,Western Michigan,10/21/1997,1,1,,CaliMi00,KAN
54,Leo Chenal,23,LB,17,10,250,6-3,Wisconsin,10/26/2000,1,5,Kansas City Chiefs / 3rd / 103rd pick / 2022,ChenLe00,KAN
48,Cole Christiansen,26,LB,5,0,230,6-1,Army,7/30/1997,3,0,,ChriCo00,KAN
99,Keondre Coburn,23,NT,1,0,332,6-2,Texas,5/23/2000,Rook,0,Kansas City Chiefs / 6th / 194th pick / 2023,CobuKe00,KAN
43,Jack Cochrane,24,LB,17,1,236,6-3,South Dakota,2/9/1999,1,2,,CochJa00,KAN
27,Chamarri Conner,23,DB,17,7,202,6-0,Virginia Tech,7/11/2000,Rook,3,Kansas City Chiefs / 4th / 119th pick / 2023,ConnCh01,KAN
6,Bryan Cook,24,S,12,12,206,6-1,"Howard,Cincinnati",9/7/1999,1,5,Kansas City Chiefs / 2nd / 62nd pick / 2022,CookBr02,KAN
51,Michael Danna,26,DE,16,16,257,6-2,"Central Michigan,Michigan",12/1/1997,3,8,Kansas City Chiefs / 5th / 177th pick / 2020,DannMi00,KAN
93,Matt Dickerson,28,DT,12,0,298,6-5,UCLA,11/9/1995,5,1,,DickMa00,KAN
21,Mike Edwards,27,S,17,5,205,5-10,"Kentucky,Hawaii",5/18/1996,4,3,Tampa Bay Buccaneers / 3rd / 99th pick / 2019,EdwaMi01,KAN
25,Clyde Edwards-Helaire,24,RB,15,3,207,5-7,LSU,4/11/1999,3,3,Kansas City Chiefs / 1st / 32nd pick / 2020,EdwaCl00,KAN
92,Neil Farrell,25,DL,3,0,325,6-4,LSU,9/9/1998,1,0,Las Vegas Raiders / 4th / 126th pick / 2022,FarrNe00,KAN
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,KAN
9,Blaine Gabbert,34,QB,2,1,233,6-4,Missouri,10/15/1989,12,1,Jacksonville Jaguars / 1st / 10th pick / 2011,GabbBl00,KAN
50,Willie Gay Jr.,25,LB,16,15,243,6-1,Mississippi St.,2/15/1998,3,8,Kansas City Chiefs / 2nd / 63rd pick / 2020,GayJWi00,KAN
83,Noah Gray,24,TE,17,10,240,6-3,Duke,4/30/1999,2,3,Kansas City Chiefs / 5th / 162nd pick / 2021,GrayNo00,KAN
12,Mecole Hardman,25,WR,6,2,187,5-10,Georgia,3/12/1998,4,1,Kansas City Chiefs / 2nd / 56th pick / 2019,HardMe00,KAN
59,Darius Harris,27,LB,5,0,238,6-2,Middle Tenn. St.,1/17/1996,3,0,,HarrDa07,KAN
94,Malik Herring,26,DE,7,1,275,6-3,Georgia,11/9/1997,1,1,,HerrMa02,KAN
52,Creed Humphrey,24,C,17,17,302,6-4,Oklahoma,6/28/1999,2,9,Kansas City Chiefs / 2nd / 63rd pick / 2021,HumpCr00,KAN
17,Richie James,28,WR,9,1,185,5-9,Middle Tenn. St.,9/5/1995,5,1,San Francisco 49ers / 7th / 240th pick / 2018,JameRi00,KAN
44,Cam Jones,24,LB,17,1,227,6-2,Indiana,10/21/1999,Rook,2,,JoneCa04,KAN
95,Chris Jones,29,DT,16,16,310,6-6,Mississippi St.,7/3/1994,7,18,Kansas City Chiefs / 2nd / 37th pick / 2016,JoneCh09,KAN
31,Nic Jones,22,CB,9,0,189,6-0,Ball St.,10/15/2001,Rook,1,Kansas City Chiefs / 7th / 250th pick / 2023,JoneNi00,KAN
56,George Karlaftis III,22,DE,16,16,263,6-4,Purdue,4/3/2001,1,8,Kansas City Chiefs / 1st / 30th pick / 2022,KarlGe00,KAN
87,Travis Kelce,34,TE,15,15,250,6-5,Cincinnati,10/5/1989,10,8,Kansas City Chiefs / 3rd / 63rd pick / 2013,KelcTr00,KAN
15,Patrick Mahomes,28,QB,16,16,225,6-2,Texas Tech,9/17/1995,6,15,Kansas City Chiefs / 1st / 10th pick / 2017,MahoPa00,KAN
22,Trent McDuffie,23,CB,16,16,193,5-11,Washington,9/13/2000,1,15,Kansas City Chiefs / 1st / 21st pick / 2022,McDuTr00,KAN
1,Jerick McKinnon,31,RB,12,0,209,5-9,Georgia Southern,5/3/1992,9,2,Minnesota Vikings / 3rd / 96th pick / 2014,McKiJe00,KAN
24,Skyy Moore,23,WR,14,8,195,5-10,Western Michigan,9/10/2000,1,2,Kansas City Chiefs / 2nd / 54th pick / 2022,MoorSk01,KAN
64,Wanya Morris,23,OL,14,4,307,6-6,"Tennessee,Oklahoma",10/10/2000,Rook,2,Kansas City Chiefs / 3rd / 92nd pick / 2023,MorrWa01,KAN
77,Lucas Niang,25,T,14,0,315,6-6,TCU,8/19/1998,2,1,Kansas City Chiefs / 3rd / 96th pick / 2020,NianLu00,KAN
91,Derrick Nnadi,27,DT,17,17,317,6-1,Florida St.,5/9/1996,5,8,Kansas City Chiefs / 3rd / 75th pick / 2018,NnadDe00,KAN
90,Charles Omenihu,26,DE,11,1,280,6-5,Texas,8/20/1997,4,2,Houston Texans / 5th / 161st pick / 2019,OmenCh00,KAN
10,Isiah Pacheco,24,RB,14,13,216,5-10,Rutgers,3/2/1999,1,8,Kansas City Chiefs / 7th / 251st pick / 2022,PachIs00,KAN
64,Mike Pennel,32,DT,3,0,330,6-4,"Arizona St.,Colorado State-Pueblo",5/9/1991,9,0,,PennMi00,KAN
29,La'Mical Perine,25,RB,3,1,216,5-11,Florida,1/30/1998,3,1,New York Jets / 4th / 120th pick / 2020,PeriLa00,KAN
34,Deneric Prince,23,RB,2,0,216,6-0,"Texas A&M,Tulsa",4/11/2000,Rook,0,,PrinDe00,KAN
20,Justin Reid,26,S,16,16,207,6-1,Stanford,2/15/1997,5,6,Houston Texans / 3rd / 68th pick / 2018,ReidJu00,KAN
4,Rashee Rice,23,WR,16,8,204,6-1,SMU,4/22/2000,Rook,8,Kansas City Chiefs / 2nd / 55th pick / 2023,RiceRa01,KAN
8,Justyn Ross,24,WR,10,1,210,6-4,Clemson,12/15/1999,1,0,,RossJu00,KAN
79,Donovan Smith,30,T,12,12,338,6-6,Penn St.,6/23/1993,8,6,Tampa Bay Buccaneers / 2nd / 34th pick / 2015,SmitDo02,KAN
65,Trey Smith,24,G,17,17,321,6-6,Tennessee,6/16/1999,2,7,Kansas City Chiefs / 6th / 226th pick / 2021,SmitTr05,KAN
38,L'Jarius Sneed,26,CB,16,16,192,6-1,Louisiana Tech,1/21/1997,3,6,Kansas City Chiefs / 4th / 138th pick / 2020,SneeLJ00,KAN
74,Jawaan Taylor,26,T,17,17,330,6-5,Florida,11/25/1997,4,8,Jacksonville Jaguars / 2nd / 35th pick / 2019,TaylJa02,KAN
53,BJ Thompson,26,DE,1,0,243,6-6,"Baylor,S.F. Austin",3/23/1997,Rook,0,Kansas City Chiefs / 5th / 166th pick / 2023,ThomBJ00,KAN
62,Joe Thuney,31,G,17,17,304,6-5,North Carolina St.,11/18/1992,7,13,New England Patriots / 3rd / 78th pick / 2016,ThunJo00,KAN
19,Kadarius Toney,24,WR,13,2,193,6-0,Florida,1/27/1999,2,2,New York Giants / 1st / 20th pick / 2021,ToneKa00,KAN
5,Tommy Townsend,27,P,17,0,191,6-1,Florida,11/12/1996,3,2,,TownTo01,KAN
23,Drue Tranquill,28,LB,16,8,234,6-2,Notre Dame,8/15/1995,4,5,Los Angeles Chargers / 4th / 130th pick / 2019,TranDr00,KAN
11,Marquez Valdes-Scantling,29,WR,16,10,206,6-4,"North Carolina St.,South Florida",10/10/1994,5,3,Green Bay Packers / 5th / 174th pick / 2018,ValdMa00,KAN
76,Prince Tega Wanogho,26,T,3,0,308,6-5,Auburn,11/22/1997,3,0,Philadelphia Eagles / 6th / 210th pick / 2020,WanoTe00,KAN
12,Montrell Washington,24,WR,6,0,170,5-10,Samford,3/14/1999,1,0,Denver Broncos / 5th / 162nd pick / 2022,WashMo00,KAN
35,Jaylen Watson,25,CB,16,2,197,6-2,"Washington St.,Ventura College",9/17/1998,1,2,Kansas City Chiefs / 7th / 243rd pick / 2022,WatsJa02,KAN
84,Justin Watson,28,WR,16,8,215,6-2,Pennsylvania,4/4/1995,5,4,Tampa Bay Buccaneers / 5th / 144th pick / 2018,WatsJu01,KAN
98,Tershawn Wharton,25,DT,17,1,280,6-1,Missouri S&T,6/25/1998,3,2,,WharTe00,KAN
2,Joshua Williams,24,CB,16,2,193,6-3,Fayetteville St.,10/17/1999,1,1,Kansas City Chiefs / 4th / 135th pick / 2022,WillJo03,KAN
41,James Winchester,34,LS,17,0,209,6-3,Oklahoma,8/6/1989,8,1,,WincJa00,KAN
,Team Total,26.1,,17,,243.8,6-2.2,,,3.2,,,,KAN
