No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
90,Brevin Allen,23,OLB,2,0,265,6-4,Campbell,9/22/2000,Rook,0,,AlleBr04,LAC
13,Keenan Allen,31,WR,13,13,211,6-2,California,4/27/1992,10,11,San Diego Chargers / 3rd / 76th pick / 2013,AlleKe00,LAC
40,Stephen Anderson,30,TE,3,0,230,6-3,California,1/30/1993,7,0,,AndeSt01,LAC
27,Essang Bassey,25,CB,11,1,190,5-10,Wake Forest,8/12/1998,3,1,,BassEs01,LAC
97,Joey Bosa,28,OLB,9,5,280,6-5,Ohio St.,7/11/1995,7,3,San Diego Chargers / 1st / 3rd pick / 2016,BosaJo00,LAC
35,Terrell Bynum,25,WR,1,0,188,6-0,"Washington,USC",8/3/1998,Rook,0,,BynuTe00,LAC
76,Will Clapp,28,OL,14,11,311,6-5,LSU,12/10/1995,5,4,New Orleans Saints / 7th / 245th pick / 2018,ClapWi00,LAC
12,Derius Davis,23,WR,17,2,165,5-8,TCU,9/11/2000,Rook,2,Los Angeles Chargers / 4th / 125th pick / 2023,DaviDe02,LAC
43,Michael Davis,28,CB,17,13,196,6-2,BYU,1/6/1995,6,5,,DaviMi03,LAC
11,Cameron Dicker,23,K,17,0,216,6-1,Texas,5/6/2000,1,5,,DickCa00,LAC
86,Keelan Doss,27,WR,5,0,215,6-3,UC Davis,3/21/1996,4,0,,DossKe00,LAC
42,Elijah Dotson,24,RB,4,0,202,5-9,"Sacramento St.,Northern Colorado",1/19/1999,Rook,0,,DotsEl00,LAC
30,Austin Ekeler,28,RB,14,14,200,5-9,Western St. (CO),5/17/1995,6,7,,EkelAu00,LAC
82,Alex Erickson,31,WR,8,3,195,6-0,Wisconsin,11/6/1992,7,2,,EricAl01,LAC
7,Gerald Everett,29,TE,15,12,252,6-3,South Alabama,6/25/1994,6,3,Los Angeles Rams / 2nd / 44th pick / 2017,EverGe00,LAC
92,Andrew Farmer,23,OLB,8,0,,6-4,Lane,4/19/2000,Rook,1,,FarmAn00,LAC
87,Simi Fehoko,26,WR,6,0,218,6-4,Stanford,11/5/1997,2,0,Dallas Cowboys / 5th / 179th pick / 2021,FehoSi00,LAC
24,AJ Finley,22,S,12,0,188,6-0,Mississippi,9/14/2001,Rook,1,,FinlAJ00,LAC
56,Morgan Fox,29,DL,17,4,275,6-3,Colorado State-Pueblo,9/12/1994,7,3,,FoxxMo00,LAC
32,Alohi Gilman,26,S,14,14,201,5-10,"Navy,Notre Dame",9/17/1997,3,5,Los Angeles Chargers / 6th / 186th pick / 2020,GilmAl00,LAC
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,LAC
15,Jalen Guyton,26,WR,8,3,212,6-1,North Texas,6/7/1997,4,1,,GuytJa01,LAC
47,Josh Harris,34,LS,17,0,224,6-1,Auburn,4/27/1989,11,1,,HarrJo02,LAC
37,Jaylinn Hawkins,26,S,10,3,208,6-1,California,8/25/1997,3,1,Atlanta Falcons / 4th / 134th pick / 2020,HawkJa00,LAC
0,Daiyan Henley,24,LB,15,0,225,6-1,"Nevada,Washington St.",11/18/1999,Rook,1,Los Angeles Chargers / 3rd / 85th pick / 2023,HenlDa00,LAC
10,Justin Herbert,25,QB,13,13,236,6-6,Oregon,3/10/1998,3,11,Los Angeles Chargers / 1st / 6th pick / 2020,HerbJu00,LAC
91,Christopher Hinton,23,DL,3,0,310,6-4,Michigan,9/14/2000,1,0,,HintCh01,LAC
56,Justin Hollins,27,OLB,7,0,248,6-5,Oregon,1/15/1996,4,1,Denver Broncos / 5th / 156th pick / 2019,HollJu00,LAC
27,J.C. Jackson,28,CB,2,2,198,6-1,"Florida,Riverside CC,Maryland",11/17/1995,5,1,,JackJ.00,LAC
64,Brenden Jaimes,24,OL,14,3,300,6-5,Nebraska,5/28/1999,2,2,Los Angeles Chargers / 5th / 159th pick / 2021,JaimBr00,LAC
3,Derwin James,27,S,16,16,215,6-2,Florida St.,8/3/1996,5,6,Los Angeles Chargers / 1st / 17th pick / 2018,JameDe00,LAC
98,Austin Johnson,29,DL,17,17,314,6-4,Penn St.,5/8/1994,7,7,Tennessee Titans / 2nd / 43rd pick / 2016,JohnAu01,LAC
77,Zion Johnson,24,G,15,15,316,6-3,"Davidson,Boston Col.",11/18/1999,1,6,Los Angeles Chargers / 1st / 17th pick / 2022,JohnZi00,LAC
1,Quentin Johnston,22,WR,17,10,215,6-4,TCU,9/6/2001,Rook,4,Los Angeles Chargers / 1st / 21st pick / 2023,JohnQu02,LAC
51,Sebastian Joseph-Day,28,LDE/RDE,14,14,310,6-4,Rutgers,3/21/1995,4,6,Los Angeles Rams / 6th / 195th pick / 2018,JoseSe00,LAC
48,Hunter Kampmoyer,25,TE,1,0,243,6-4,Oregon,2/6/1998,2,0,,KampHu00,LAC
25,Joshua Kelley,26,RB,17,3,212,5-11,"UC Davis,UCLA",11/20/1997,3,3,Los Angeles Chargers / 4th / 112th pick / 2020,KellJo01,LAC
6,Eric Kendricks,31,LILB,15,14,232,6-0,UCLA,2/29/1992,8,6,Minnesota Vikings / 2nd / 45th pick / 2015,KendEr00,LAC
41,Raheem Layne,24,S,5,1,192,5-11,Indiana,7/2/1999,1,1,,LaynRa00,LAC
33,Deane Leonard,24,DB,11,3,195,6-0,"Calgary,Mississippi",11/20/1999,1,1,Los Angeles Chargers / 7th / 236th pick / 2022,LeonDe00,LAC
63,Corey Linsley,32,C,3,3,301,6-3,Ohio St.,7/27/1991,9,1,Green Bay Packers / 5th / 161st pick / 2014,LinsCo00,LAC
53,Blake Lynch,26,LB,7,0,225,6-3,Baylor,2/14/1997,3,0,,LyncBl00,LAC
52,Khalil Mack,32,OLB,17,17,269,6-3,Buffalo,2/22/1991,9,11,Oakland Raiders / 1st / 5th pick / 2014,MackKh00,LAC
20,Dean Marlowe,31,FS,16,4,205,6-1,James Madison,7/25/1992,8,2,,MarlDe00,LAC
99,Scott Matlock,23,DL,12,0,296,6-4,Boise St.,6/28/2000,Rook,1,Los Angeles Chargers / 6th / 200th pick / 2023,MatlSc00,LAC
71,Jordan McFadden,24,OL,12,2,303,6-2,Clemson,11/16/1999,Rook,1,Los Angeles Chargers / 5th / 156th pick / 2023,McFaJo00,LAC
88,Tre' McKitty,24,TE,6,0,246,6-4,"Florida St.,Georgia",1/12/1999,2,0,Los Angeles Chargers / 3rd / 97th pick / 2021,McKiTr00,LAC
9,Kenneth Murray,25,LB,15,15,241,6-2,Oklahoma,11/16/1998,3,7,Los Angeles Chargers / 1st / 23rd pick / 2020,MurrKe00,LAC
44,Tanner Muse,27,LB,10,0,227,6-2,Clemson,9/6/1996,2,1,Las Vegas Raiders / 3rd / 100th pick / 2020,MuseTa00,LAC
31,Nick Niemann,26,LB,17,3,244,6-3,Iowa,12/2/1997,2,2,Los Angeles Chargers / 6th / 185th pick / 2021,NiemNi00,LAC
57,Amen Ogbongbemiga,25,LB,15,0,231,6-0,Oklahoma St.,9/4/1998,2,2,,OgboAm00,LAC
93,Otito Ogbonnia,22,DT,8,2,320,6-4,UCLA,12/3/2001,1,1,Los Angeles Chargers / 5th / 160th pick / 2022,OgboOt00,LAC
5,Josh Palmer,24,WR,10,6,210,6-1,Tennessee,9/22/1999,2,5,Los Angeles Chargers / 3rd / 77th pick / 2021,PalmJo00,LAC
89,Donald Parham,26,TE,14,8,237,6-8,Stetson,8/16/1997,3,2,,ParhDo00,LAC
79,Trey Pipkins,27,T,17,17,307,6-6,Sioux Falls,9/5/1996,4,8,Los Angeles Chargers / 3rd / 91st pick / 2019,PipkTr00,LAC
75,Austen Pleasants,26,G,1,0,330,6-7,Ohio,8/22/1997,2,0,,PleaAu00,LAC
94,Chris Rumph,25,OLB,6,0,244,6-2,Duke,10/19/1998,2,1,Los Angeles Chargers / 4th / 118th pick / 2021,RumpCh00,LAC
68,Jamaree Salyer,23,OL,17,17,325,6-4,Georgia,7/13/2000,1,7,Los Angeles Chargers / 6th / 195th pick / 2022,SalyJa00,LAC
26,Asante Samuel Jr.,24,CB,17,16,180,5-10,Florida St.,10/3/1999,2,6,Los Angeles Chargers / 2nd / 47th pick / 2021,SamuAs00,LAC
73,Foster Sarell,25,T,17,0,322,6-6,Stanford,8/28/1998,1,1,,SareFo00,LAC
16,JK Scott,28,P,17,0,208,6-5,Alabama,10/30/1995,5,2,Green Bay Packers / 5th / 172nd pick / 2018,ScotJK00,LAC
59,Ty Shelby,25,OLB,1,0,249,6-3,La-Monroe,10/14/1998,1,0,,ShelTy01,LAC
70,Rashawn Slater,24,T,17,17,315,6-4,Northwestern,3/26/1999,2,8,Los Angeles Chargers / 1st / 13th pick / 2021,SlatRa00,LAC
84,Stone Smartt,25,TE,16,3,226,6-4,"Northern Arizona,Riverside CC,Old Dominion",10/4/1998,1,1,,SmarSt00,LAC
28,Isaiah Spiller,22,RB,9,0,215,6-1,Texas A&M,8/9/2001,1,1,Los Angeles Chargers / 4th / 123rd pick / 2022,SpilIs00,LAC
