No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
3,Cam Akers,24,RB,1,1,217,5-10,Florida St.,6/22/1999,3,0,Los Angeles Rams / 2nd / 52nd pick / 2020,AkerCa00,LAR
55,Brian Allen,28,C,5,0,303,6-2,Michigan St.,10/11/1995,5,0,Los Angeles Rams / 4th / 111th pick / 2018,AlleBr02,LAR
87,Davis Allen,22,TE,15,1,251,6-6,Clemson,2/3/2001,Rook,1,Los Angeles Rams / 5th / 175th pick / 2023,AlleDa02,LAR
72,Tremayne Anchrum,25,G,17,0,314,6-2,Clemson,6/24/1998,3,1,Los Angeles Rams / 7th / 250th pick / 2020,AnchTr00,LAR
5,Tutu Atwell,24,WR,16,14,165,5-9,Louisville,10/7/1999,2,5,Los Angeles Rams / 2nd / 57th pick / 2021,AtweTu00,LAR
73,Steve Avila,24,G,17,17,338,6-3,TCU,10/16/1999,Rook,7,Los Angeles Rams / 2nd / 36th pick / 2023,AvilSt00,LAR
95,Bobby Brown,23,NT,13,13,332,6-4,Texas A&M,8/7/2000,2,5,Los Angeles Rams / 4th / 117th pick / 2021,BrowBo04,LAR
90,Earnest Brown IV,24,DE,7,0,300,6-5,Northwestern,1/8/1999,1,0,Los Angeles Rams / 5th / 174th pick / 2021,BrowEa00,LAR
93,Marquise Copeland,26,DT,1,0,287,6-2,Cincinnati,5/9/1997,3,0,,CopeMa01,LAR
99,Aaron Donald,32,DT,16,16,280,6-1,Pittsburgh,5/23/1991,9,15,St. Louis Rams / 1st / 13th pick / 2014,DonaAa00,LAR
69,Kevin Dotson,27,OL,14,14,330,6-4,Louisiana,9/18/1996,3,6,Pittsburgh Steelers / 4th / 135th pick / 2020,DotsKe00,LAR
14,Cobie Durant,25,DB,16,9,182,5-11,South Carolina St.,2/9/1998,1,3,Los Angeles Rams / 4th / 142nd pick / 2022,DuraDe01,LAR
98,Cory Durden,24,DT,4,0,316,6-4,"Florida St.,North Carolina St.",1/26/1999,Rook,0,,DurdCo00,LAR
