No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
22,Ameer Abdullah,30,RB,17,0,203,5-9,Nebraska,6/13/1993,8,2,Detroit Lions / 2nd / 54th pick / 2015,AbduAm00,LVR
17,Davante Adams,31,WR,17,17,215,6-1,Fresno St.,12/24/1992,9,10,Green Bay Packers / 2nd / 53rd pick / 2014,AdamDa01,LVR
0,Jakorian Bennett,23,CB,14,4,195,5-11,"Hutchinson (KS),Maryland",8/23/2000,Rook,2,Las Vegas Raiders / 4th / 104th pick / 2023,BennJa00,LVR
50,Jacob Bobenmoyer,26,LS,17,0,235,6-2,Northern Colorado,5/28/1997,3,1,,BobeJa00,LVR
34,Brandon Bolden,33,RB,17,0,220,5-11,Mississippi,1/26/1990,11,0,,BoldBr00,LVR
36,Curtis Bolton,28,LB,13,0,228,6-0,Oklahoma,12/18/1995,2,1,,BoltCu00,LVR
56,Amari Burney,23,LB,7,1,228,6-2,Florida,6/12/2000,Rook,1,Las Vegas Raiders / 6th / 203rd pick / 2023,BurnAm00,LVR
69,Adam Butler,29,DT,17,0,300,6-5,Vanderbilt,4/12/1994,6,2,,ButlAd00,LVR
94,Matthew Butler,24,DT,2,0,290,6-3,Tennessee,6/10/1999,1,0,Las Vegas Raiders / 5th / 175th pick / 2022,ButlMa02,LVR
2,Daniel Carlson,28,K,17,0,215,6-5,Auburn,1/23/1995,5,3,Minnesota Vikings / 5th / 167th pick / 2018,CarlDa00,LVR
3,DeAndre Carter,30,WR,17,1,190,5-8,Sacramento St.,4/10/1993,5,0,,CartDe02,LVR
6,AJ Cole III,28,P,17,0,220,6-4,North Carolina St.,11/27/1995,4,3,,ColeAJ01,LVR
98,Maxx Crosby,26,DE,17,17,255,6-5,Eastern Michigan,8/22/1997,4,15,Oakland Raiders / 4th / 106th pick / 2019,CrosMa00,LVR
5,Divine Deablo,25,LB,15,15,223,6-3,Virginia Tech,8/17/1998,2,7,Las Vegas Raiders / 3rd / 80th pick / 2021,DeabDi00,LVR
72,Jermaine Eluemunor,29,RT,17,14,338,6-4,"Lackawanna,Texas A&M",12/13/1994,6,5,Baltimore Ravens / 5th / 159th pick / 2017,ElueJe00,LVR
1,Marcus Epps,27,S,17,17,191,6-0,Wyoming,1/27/1996,4,6,Minnesota Vikings / 6th / 191st pick / 2019,EppsMa00,LVR
31,Brandon Facyson,29,CB,3,0,197,6-2,Virginia Tech,9/8/1994,5,0,,FacyBr00,LVR
