No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
28,De'Von Achane,22,RB,11,4,188,5-9,Texas A&M,10/13/2001,Rook,7,Miami Dolphins / 3rd / 84th pick / 2023,AchaDe00,MIA
26,Salvon Ahmed,25,RB,8,0,197,5-11,Washington,12/30/1998,3,1,,AhmeSa01,MIA
33,Eli Apple,28,CB,10,4,203,6-1,Ohio St.,8/9/1995,7,2,New York Giants / 1st / 10th pick / 2016,ApplEl00,MIA
72,Terron Armstead,32,T,10,10,305,6-5,Ark-Pine Bluff,7/23/1991,10,8,New Orleans Saints / 3rd / 75th pick / 2013,ArmsTe00,MIA
16,Jake Bailey,26,P,17,0,212,6-2,Stanford,6/18/1997,4,1,New England Patriots / 5th / 163rd pick / 2019,BailJa00,MIA
55,Jerome Baker,27,LILB,13,12,232,6-2,Ohio St.,12/25/1996,5,6,Miami Dolphins / 3rd / 73rd pick / 2018,BakeJe00,MIA
0,Braxton Berrios,28,WR,16,1,185,5-9,Miami (FL),10/6/1995,4,2,New England Patriots / 6th / 210th pick / 2018,BerrBr00,MIA
20,Justin Bethel,33,CB,17,1,200,6-0,Presbyterian,6/17/1990,11,1,Arizona Cardinals / 6th / 177th pick / 2012,BethJu00,MIA
38,Ethan Bonner,24,CB,2,0,186,6-1,Stanford,10/23/1999,Rook,0,,BonnEt00,MIA
35,Chris Brooks,23,RB,9,0,226,6-1,"California,BYU",1/11/2000,Rook,1,,BrooCh00,MIA
22,Elijah Campbell,28,DB,15,1,200,5-11,"Iowa Western,Northern Illinois,Northern Iowa",8/24/1995,3,1,,CampEl00,MIA
3,Robbie Chosen,30,WR,9,0,185,6-3,Temple,5/9/1993,7,1,,AndeRo04,MIA
2,Bradley Chubb,27,LB,16,16,268,6-4,North Carolina St.,6/24/1996,5,8,Denver Broncos / 1st / 5th pick / 2018,ChubBr00,MIA
83,Chase Claypool,25,WR,9,0,238,6-4,Notre Dame,7/7/1998,3,0,Pittsburgh Steelers / 2nd / 49th pick / 2020,ClayCh01,MIA
80,Tanner Conner,25,TE,3,0,232,6-3,Idaho St.,3/20/1998,1,0,,ConnTa00,MIA
66,Lester Cotton,27,G,17,8,330,6-4,Alabama,2/20/1996,4,5,,CottLe00,MIA
85,River Cracraft,29,WR,10,1,198,6-0,Washington St.,11/1/1994,5,1,,CracRi00,MIA
98,Raekwon Davis,26,DT,17,7,325,6-7,Alabama,8/21/1997,3,4,Miami Dolphins / 2nd / 56th pick / 2020,DaviRa03,MIA
74,Liam Eichenberg,25,OL,16,12,302,6-6,Notre Dame,1/19/1998,2,7,Miami Dolphins / 2nd / 42nd pick / 2021,EichLi00,MIA
21,DeShon Elliott,26,S,15,15,210,6-0,Texas,4/21/1997,4,5,Baltimore Ravens / 6th / 190th pick / 2018,ElliDe02,MIA
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,MIA
37,Darrynton Evans,25,RB,2,0,203,5-10,Appalachian St.,7/9/1998,3,0,Tennessee Titans / 3rd / 93rd pick / 2020,EvanDa02,MIA
18,Erik Ezukanma,23,WR,2,0,206,6-2,Texas Tech,1/25/2000,1,0,Miami Dolphins / 4th / 125th pick / 2022,EzukEr00,MIA
44,Blake Ferguson,26,LS,17,0,230,6-3,LSU,4/21/1997,3,1,Miami Dolphins / 6th / 185th pick / 2020,FergBl00,MIA
53,Cameron Goode,25,LB,17,0,245,6-3,California,4/15/1998,1,1,Miami Dolphins / 7th / 224th pick / 2022,GoodCa00,MIA
93,Da'Shawn Hand,28,DT,16,0,302,6-3,Alabama,11/14/1995,5,1,Detroit Lions / 4th / 114th pick / 2018,HandDa00,MIA
60,Jonotthan Harrison,32,OL,2,0,300,6-4,Florida,8/25/1991,9,0,,HarrJo03,MIA
89,Julian Hill,23,TE,15,4,251,6-4,Campbell,7/9/2000,Rook,0,,HillJu02,MIA
10,Tyreek Hill,29,WR,16,16,191,5-10,"Garden City (KS),Oklahoma St.,West Alabama",3/1/1994,7,18,Kansas City Chiefs / 5th / 165th pick / 2016,HillTy00,MIA
8,Jevon Holland,23,S,12,12,205,6-1,Oregon,3/3/2000,2,5,Miami Dolphins / 2nd / 36th pick / 2021,HollJe02,MIA
52,Justin Houston,34,LB,0,0,270,6-3,Georgia,1/21/1989,12,0,Kansas City Chiefs / 3rd / 70th pick / 2011,HousJu00,MIA
25,Xavien Howard,30,LCB,13,13,203,6-1,Baylor,7/4/1993,7,4,Miami Dolphins / 2nd / 38th pick / 2016,HowaXa00,MIA
68,Robert Hunt,27,RG,11,10,323,6-6,Louisiana,8/25/1996,3,5,Miami Dolphins / 2nd / 39th pick / 2020,HuntRo01,MIA
30,Alec Ingold,27,FB,17,13,232,6-1,Wisconsin,7/9/1996,4,1,,IngoAl01,MIA
9,Melvin Ingram,34,LB,3,0,247,6-2,South Carolina,4/26/1989,11,0,San Diego Chargers / 1st / 18th pick / 2012,IngrMe00,MIA
46,Bruce Irvin,36,LB,0,0,250,6-3,"Butler (KS),West Virginia",11/1/1987,11,0,Seattle Seahawks / 1st / 15th pick / 2012,IrviBr00,MIA
73,Austin Jackson,24,OL,16,16,315,6-5,USC,8/11/1999,3,8,Miami Dolphins / 1st / 18th pick / 2020,JackAu00,MIA
29,Brandon Jones,25,SS,16,6,191,6-0,Texas,4/2/1998,3,3,Miami Dolphins / 3rd / 70th pick / 2020,JoneBr06,MIA
65,Robert Jones,24,OL,8,5,321,6-4,"Highland (KS),Middle Tenn. St.",1/28/1999,2,3,,JoneRo02,MIA
9,Kelvin Joseph,24,CB,4,0,195,6-1,"LSU,Kentucky",11/11/1999,2,0,Dallas Cowboys / 2nd / 44th pick / 2021,JoseKe02,MIA
4,Kader Kohou,25,CB,17,16,197,5-10,Texas A&M-Commerce,11/29/1998,1,5,,KohoKa00,MIA
48,Tyler Kroft,31,TE,8,0,252,6-6,Rutgers,10/15/1992,8,0,Cincinnati Bengals / 3rd / 85th pick / 2015,KrofTy00,MIA
70,Kendall Lamm,31,T,17,8,308,6-5,Appalachian St.,6/5/1992,8,6,,LammKe00,MIA
51,David Long,27,LB,17,17,225,5-11,West Virginia,10/12/1996,4,7,Tennessee Titans / 6th / 188th pick / 2019,LongDa04,MIA
31,Raheem Mostert,31,RB,15,15,205,5-10,Purdue,4/9/1992,8,9,,MostRa00,MIA
50,Calvin Munson,29,LB,5,0,240,6-1,San Diego St.,12/27/1994,6,0,,MunsCa00,MIA
40,Nik Needham,27,CB,10,0,196,6-1,Texas-El Paso,11/4/1996,4,1,,NeedNi00,MIA
34,Parry Nickerson,29,CB,5,0,182,5-10,Tulane,10/11/1994,5,0,New York Jets / 6th / 179th pick / 2018,NickPa00,MIA
91,Emmanuel Ogbah,30,NT,15,1,275,6-4,Oklahoma St.,11/6/1993,7,2,Cleveland Browns / 2nd / 32nd pick / 2016,OgbaEm00,MIA
15,Jaelan Phillips,24,LB,8,6,263,6-5,"UCLA,Miami (FL)",5/28/1999,2,3,Miami Dolphins / 1st / 18th pick / 2021,PhilJa02,MIA
90,Jason Pierre-Paul,34,DE,2,0,275,6-5,"College of the Canyons (CA),South Florida",1/1/1989,13,0,New York Giants / 1st / 15th pick / 2010,PierJa99,MIA
96,Brandon Pili,24,DT,4,0,319,6-3,USC,4/2/1999,Rook,0,,PiliBr00,MIA
5,Jalen Ramsey,29,CB,10,10,208,6-1,Florida St.,10/24/1994,7,7,Jacksonville Jaguars / 1st / 5th pick / 2016,RamsJa00,MIA
47,Malik Reed,27,LB,0,0,245,6-2,Nevada,8/5/1996,4,0,,ReedMa01,MIA
45,Duke Riley,29,LB,17,5,227,6-1,LSU,8/9/1994,6,3,Atlanta Falcons / 3rd / 75th pick / 2017,RileDu00,MIA
7,Jason Sanders,28,K,17,0,195,5-11,New Mexico,11/16/1995,5,4,Miami Dolphins / 7th / 229th pick / 2018,SandJa00,MIA
92,Zach Sieler,28,DT,17,17,300,6-6,Ferris St.,9/7/1995,5,9,Baltimore Ravens / 7th / 238th pick / 2018,SielZa00,MIA
24,Cam Smith,23,CB,15,0,186,6-1,South Carolina,12/21/2000,Rook,1,Miami Dolphins / 2nd / 51st pick / 2023,SmitCa02,MIA
71,Kion Smith,25,T,9,0,300,6-5,Fayetteville St.,10/7/1998,1,1,,SmitKi00,MIA
81,Durham Smythe,28,TE,16,14,246,6-6,Notre Dame,8/9/1995,5,4,Miami Dolphins / 4th / 123rd pick / 2018,SmytDu00,MIA
1,Tua Tagovailoa,25,QB,17,17,225,6-1,Alabama,3/2/1998,3,16,Miami Dolphins / 1st / 5th pick / 2020,TagoTu00,MIA
41,Channing Tindall,23,LB,17,0,236,6-2,Georgia,3/28/2000,1,1,Miami Dolphins / 3rd / 102nd pick / 2022,TindCh00,MIA
43,Andrew Van Ginkel,28,LOLB,17,11,242,6-4,Wisconsin,7/1/1995,4,6,Miami Dolphins / 5th / 151st pick / 2019,VanGAn00,MIA
17,Jaylen Waddle,25,WR,14,14,185,5-10,Alabama,11/25/1998,2,10,Miami Dolphins / 1st / 6th pick / 2021,WaddJa00,MIA
14,Mike White,28,QB,6,0,216,6-5,"South Florida,Western Kentucky",3/25/1995,2,0,Dallas Cowboys / 5th / 171st pick / 2018,WhitMi01,MIA
94,Christian Wilkins,28,LDE,17,17,310,6-4,Clemson,12/20/1995,4,8,Miami Dolphins / 1st / 13th pick / 2019,WilkCh00,MIA
58,Connor Williams,26,OL,9,9,310,6-5,Texas,5/12/1997,5,5,Dallas Cowboys / 2nd / 50th pick / 2018,WillCo00,MIA
