No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
3,Jordan Addison,21,WR,17,14,175,5-11,"Pittsburgh,USC",1/27/2002,Rook,7,Minnesota Vikings / 1st / 23rd pick / 2023,AddiJo00,MIN
78,Hakeem Adeniji,26,OL,4,0,315,6-4,Kansas,12/8/1997,3,0,Cincinnati Bengals / 6th / 180th pick / 2020,AdenHa00,MIN
31,Cam Akers,24,RB,6,0,217,5-10,Florida St.,6/22/1999,3,1,Los Angeles Rams / 2nd / 52nd pick / 2020,AkerCa00,MIN
33,Brian Asamoah,23,LB,13,0,226,6-0,Oklahoma,3/29/2000,1,1,Minnesota Vikings / 3rd / 66th pick / 2022,AsamBr00,MIN
54,Anthony Barr,31,LB,4,0,257,6-5,UCLA,3/18/1992,9,1,Minnesota Vikings / 1st / 9th pick / 2014,BarrAn00,MIN
11,Mekhi Blackmon,24,CB,15,3,178,5-11,"San Mateo,Colorado,USC",3/18/1999,Rook,2,Minnesota Vikings / 3rd / 102nd pick / 2023,BlacMe00,MIN
23,Andrew Booth,23,CB,17,1,194,6-0,Clemson,9/28/2000,1,1,Minnesota Vikings / 2nd / 42nd pick / 2022,BootAn00,MIN
56,Garrett Bradbury,28,C,14,14,300,6-3,North Carolina St.,6/20/1995,4,6,Minnesota Vikings / 1st / 18th pick / 2019,BradGa00,MIN
64,Blake Brandel,26,T,17,2,315,6-7,Oregon St.,1/23/1997,2,2,Minnesota Vikings / 6th / 203rd pick / 2020,BranBl00,MIN
90,Jonathan Bullard,30,DL,17,14,290,6-3,Florida,10/22/1993,7,7,Chicago Bears / 3rd / 72nd pick / 2016,BullJo00,MIN
24,Camryn Bynum,25,S,17,17,200,6-0,California,7/19/1998,2,6,Minnesota Vikings / 4th / 125th pick / 2021,BynuCa00,MIN
55,Andre Carter II,23,OLB,12,0,256,6-6,Army,6/2/2000,Rook,1,,CartAn01,MIN
32,Ty Chandler,25,RB,17,4,204,5-11,"Tennessee,North Carolina",5/12/1998,1,4,Minnesota Vikings / 5th / 169th pick / 2022,ChanTy01,MIN
