No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
24,Johnathan Abram,27,S,9,3,205,5-11,Mississippi St.,10/25/1996,4,2,Oakland Raiders / 1st / 27th pick / 2019,AbraJo01,NOR
29,Paulson Adebo,24,CB,15,15,192,6-1,Stanford,7/3/1999,2,7,New Orleans Saints / 3rd / 76th pick / 2021,AdebPa00,NOR
0,Ugo Amadi,26,S,17,0,201,5-9,Oregon,5/16/1997,4,1,Seattle Seahawks / 4th / 132nd pick / 2019,AmadUg00,NOR
53,Zack Baun,27,RLB,17,6,225,6-3,Wisconsin,12/30/1996,3,4,New Orleans Saints / 3rd / 74th pick / 2020,BaunZa00,NOR
5,Lynn Bowden Jr.,26,WR,15,3,204,6-1,Kentucky,10/14/1997,3,1,Las Vegas Raiders / 3rd / 80th pick / 2020,BowdLy00,NOR
90,Bryan Bresee,22,DT,17,0,305,6-5,Clemson,10/6/2001,Rook,2,New Orleans Saints / 1st / 29th pick / 2023,BresBr00,NOR
10,Marquez Callaway,25,WR,3,0,204,6-2,Tennessee,3/27/1998,3,0,,CallMa01,NOR
4,Derek Carr,32,QB,17,17,215,6-3,Fresno St.,3/28/1991,9,12,Oakland Raiders / 2nd / 36th pick / 2014,CarrDe02,NOR
43,Ryan Connelly,28,LB,1,0,234,6-2,Wisconsin,10/3/1995,4,0,New York Giants / 5th / 143rd pick / 2019,ConnRy00,NOR
11,Cameron Dantzler,25,CB,2,0,188,6-2,Mississippi St.,9/3/1998,3,0,Minnesota Vikings / 3rd / 89th pick / 2020,DantCa00,NOR
56,Demario Davis,34,MLB,17,17,248,6-2,Arkansas St.,1/11/1989,11,16,New York Jets / 3rd / 77th pick / 2012,DaviDe00,NOR
77,Cameron Erving,31,G,3,2,313,6-5,Florida St.,8/23/1992,8,1,Cleveland Browns / 1st / 19th pick / 2015,ErviCa00,NOR
55,Isaiah Foskey,23,DE,10,0,270,6-5,Notre Dame,10/30/2000,Rook,1,New Orleans Saints / 2nd / 40th pick / 2023,FoskIs00,NOR
73,Max Garcia,32,G,17,3,309,6-4,Florida,11/9/1991,8,2,Denver Broncos / 4th / 133rd pick / 2015,GarcMa00,NOR
80,Jimmy Graham,37,TE,13,2,265,6-7,Miami (FL),11/24/1986,13,0,New Orleans Saints / 3rd / 95th pick / 2010,GrahJi00,NOR
96,Carl Granderson,27,DE,17,17,261,6-5,Wyoming,12/18/1996,4,9,,GranCa01,NOR
48,J.T. Gray,27,DB,14,0,202,6-0,Mississippi St.,1/18/1996,5,1,,GrayJ.00,NOR
19,Blake Grupe,25,K,17,0,156,5-7,"Arkansas St.,Notre Dame",11/5/1998,Rook,3,,GrupBl00,NOR
39,Lou Hedley,30,P,17,0,220,6-4,"City College of San Francisco,Miami (FL)",6/26/1993,Rook,1,,HedlLo00,NOR
95,Jack Heflin,25,DT,1,0,304,6-3,"Northern Illinois,Iowa",3/8/1998,2,0,,HeflJa00,NOR
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,NOR
7,Taysom Hill,33,TE/QB,16,7,221,6-2,BYU,8/23/1990,6,5,,HillTa00,NOR
84,J.P. Holtz,30,TE,1,0,246,6-3,Pittsburgh,8/28/1993,4,0,,HoltJ.01,NOR
31,Jordan Howden,23,DB,16,7,209,6-0,Minnesota,5/14/2000,Rook,3,New Orleans Saints / 5th / 146th pick / 2023,HowdJo00,NOR
74,James Hurst,32,OL,15,15,310,6-5,North Carolina,12/17/1991,9,6,,HursJa00,NOR
52,D'Marco Jackson,25,LB,17,0,233,6-1,Appalachian St.,7/20/1998,1,2,New Orleans Saints / 5th / 161st pick / 2022,JackDM00,NOR
38,Shemar Jean-Charles,25,CB,3,0,184,5-10,Appalachian St.,6/20/1998,2,0,Green Bay Packers / 5th / 178th pick / 2021,JeanSh00,NOR
83,Juwan Johnson,27,TE,13,11,231,6-4,"Oregon,Penn St.",9/13/1996,3,3,,JohnJu02,NOR
28,Lonnie Johnson Jr.,28,CB,12,0,213,6-2,"Garden City (KS),Kentucky",11/4/1995,4,1,Houston Texans / 2nd / 54th pick / 2019,JohnLo01,NOR
34,Tony Jones,26,RB,4,1,224,5-11,Notre Dame,11/24/1997,3,1,,JoneTo04,NOR
94,Cameron Jordan,34,DE,17,17,287,6-4,California,7/10/1989,12,9,New Orleans Saints / 1st / 24th pick / 2011,JordCa00,NOR
41,Alvin Kamara,28,RB,13,12,215,5-10,"Alabama,Hutchinson (KS),Tennessee",7/25/1995,6,8,New Orleans Saints / 3rd / 67th pick / 2017,KamaAl00,NOR
18,Keith Kirkwood,29,WR,13,4,210,6-3,"Hawaii,Temple",12/26/1994,5,0,,KirkKe00,NOR
92,Tanoh Kpassagnon,29,DE,17,0,289,6-7,Villanova,6/14/1994,6,2,Kansas City Chiefs / 2nd / 59th pick / 2017,KpasTa00,NOR
62,Tommy Kraemer,25,G,4,0,319,6-6,Notre Dame,4/16/1998,2,0,,KraeTo02,NOR
23,Marshon Lattimore,27,CB,10,10,192,6-0,Ohio St.,5/19/1996,6,4,New Orleans Saints / 1st / 11th pick / 2017,LattMa01,NOR
54,Cory Littleton,30,LB,1,0,225,6-3,Washington,11/18/1993,7,0,,LittCo01,NOR
32,Tyrann Mathieu,31,S,17,17,190,5-9,LSU,5/13/1992,10,7,Arizona Cardinals / 3rd / 69th pick / 2013,MathTy00,NOR
6,Marcus Maye,30,SS,7,7,207,6-0,Florida,3/9/1993,6,3,New York Jets / 2nd / 39th pick / 2017,MayeMa00,NOR
78,Erik McCoy,26,OL,17,17,303,6-4,Texas A&M,8/27/1997,4,9,New Orleans Saints / 2nd / 48th pick / 2019,McCoEr01,NOR
33,Kirk Merritt,26,WR,1,0,210,6-0,"Oregon,Texas A&M,East Mississippi CC,Arkansas St.",1/5/1997,3,0,,MerrKi00,NOR
25,Kendre Miller,21,RB,8,0,220,6-0,TCU,6/11/2002,Rook,2,New Orleans Saints / 3rd / 71st pick / 2023,MillKe01,NOR
37,Jordan Mims,24,RB,2,0,205,6-0,Fresno St.,5/16/1999,Rook,0,,MimsJo00,NOR
87,Foster Moreau,26,TE,15,10,250,6-4,LSU,5/6/1997,4,2,Oakland Raiders / 4th / 137th pick / 2019,MoreFo00,NOR
54,PJ Mustipher,24,DT,4,0,318,6-4,Penn St.,11/10/1999,Rook,0,,MustPJ00,NOR
12,Chris Olave,23,WR,16,11,187,6-0,Ohio St.,6/27/2000,1,10,New Orleans Saints / 1st / 11th pick / 2022,OlavCh00,NOR
75,Andrus Peat,30,OL,16,12,316,6-7,Stanford,11/4/1993,8,5,New Orleans Saints / 1st / 13th pick / 2015,PeatAn00,NOR
70,Trevor Penning,24,T,17,5,325,6-7,Northern Iowa,5/15/1999,1,3,New Orleans Saints / 1st / 19th pick / 2022,PennTr00,NOR
17,A.T. Perry,24,WR,10,3,205,6-5,Wake Forest,10/26/1999,Rook,2,New Orleans Saints / 6th / 195th pick / 2023,PerrAT00,NOR
91,Kyle Phillips,26,DE,5,0,277,6-4,Tennessee,5/5/1997,4,0,,PhilKy00,NOR
54,Jason Pierre-Paul,34,DE,1,0,275,6-5,"College of the Canyons (CA),South Florida",1/1/1989,13,0,New York Giants / 1st / 15th pick / 2010,PierJa99,NOR
46,Adam Prentice,26,FB,13,1,245,6-0,South Carolina,1/16/1997,2,0,,PrenAd00,NOR
