No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
76,Calvin Anderson,27,OL,5,2,305,6-5,"Rice,Texas",3/25/1996,3,1,,AndeCa00,NWE
60,David Andrews,31,C,17,17,300,6-2,Georgia,7/10/1992,8,5,,AndrDa00,NWE
67,Jake Andrews,24,C,16,1,308,6-3,Troy,11/11/1999,Rook,1,New England Patriots / 4th / 107th pick / 2023,AndrJa00,NWE
28,Alex Austin,22,CB,5,1,191,6-1,Oregon St.,5/22/2001,Rook,1,Buffalo Bills / 7th / 252nd pick / 2023,AustAl00,NWE
17,Bryce Baringer,24,P,17,0,215,6-2,Michigan St.,4/26/1999,Rook,3,New England Patriots / 6th / 192nd pick / 2023,BariBr00,NWE
90,Christian Barmore,24,DL,17,6,315,6-5,Alabama,7/28/1999,2,5,New England Patriots / 2nd / 38th pick / 2021,BarmCh00,NWE
8,Ja'Whaun Bentley,27,LB,16,16,250,6-2,Purdue,8/24/1996,5,9,New England Patriots / 5th / 143rd pick / 2018,BentJa00,NWE
24,Joshuah Bledsoe,25,S,1,0,207,5-11,Missouri,12/30/1998,1,0,New England Patriots / 6th / 188th pick / 2021,BledJo00,NWE
45,Chris Board,28,LB,17,0,240,6-2,North Dakota St.,7/23/1995,5,2,,BoarCh00,NWE
84,Kendrick Bourne,28,WR,8,5,205,6-1,Eastern Washington,8/4/1995,6,3,,BourKe00,NWE
80,Kayshon Boutte,21,WR,5,0,197,5-11,LSU,5/7/2002,Rook,0,New England Patriots / 6th / 187th pick / 2023,BoutKa00,NWE
86,Pharaoh Brown,29,TE,17,11,246,6-5,Oregon,5/4/1994,6,1,,BrowPh01,NWE
77,Trent Brown,30,OL,11,8,380,6-8,"Georgia Military,Florida",4/13/1993,8,2,San Francisco 49ers / 7th / 244th pick / 2015,BrowTr02,NWE
27,Myles Bryant,25,DB,17,9,192,5-9,Washington,1/2/1998,3,4,,BryaMy01,NWE
49,Joe Cardona,31,LS,17,0,245,6-2,Navy,4/16/1992,8,1,New England Patriots / 5th / 166th pick / 2015,CardJo00,NWE
16,Malik Cunningham,25,QB,1,0,186,6-1,Louisville,10/6/1998,Rook,0,,CunnMa00,NWE
22,Cody Davis,34,DB,11,0,205,6-2,Texas Tech,6/6/1989,10,1,,DaviCo02,NWE
81,Demario Douglas,23,WR,14,7,192,5-8,Liberty,12/8/2000,Rook,4,New England Patriots / 6th / 210th pick / 2023,DougDe00,NWE
23,Kyle Dugger,27,DB,17,17,216,6-1,Lenoir-Rhyne,3/22/1996,3,7,New England Patriots / 2nd / 37th pick / 2020,DuggKy00,NWE
95,Daniel Ekuale,29,DL,3,0,310,6-3,Washington St.,1/13/1994,4,0,,EkuaDa00,NWE
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,NWE
15,Ezekiel Elliott,28,RB,17,5,228,6-0,Ohio St.,7/22/1995,7,5,Dallas Cowboys / 1st / 4th pick / 2016,ElliEz00,NWE
53,Christian Elliss,24,LB,4,0,231,6-2,Idaho,1/2/1999,2,0,,ElliCh00,NWE
65,James Ferentz,34,G,1,1,290,6-2,Iowa,6/5/1989,8,0,,FereJa00,NWE
88,Mike Gesicki,28,TE,17,10,252,6-6,Penn St.,10/3/1995,5,2,Miami Dolphins / 2nd / 42nd pick / 2018,GesiMi00,NWE
92,Davon Godchaux,29,DL,17,17,330,6-3,LSU,11/11/1994,6,10,Miami Dolphins / 5th / 178th pick / 2017,GodcDa00,NWE
6,Christian Gonzalez,21,CB,4,4,205,6-1,"Colorado,Oregon",6/28/2002,Rook,2,New England Patriots / 1st / 17th pick / 2023,GonzCh00,NWE
93,Lawrence Guy,33,RDE,17,12,315,6-4,Arizona St.,3/17/1990,11,7,Green Bay Packers / 7th / 233rd pick / 2011,GuyxLa00,NWE
36,Kevin Harris,23,RB,4,0,225,5-10,South Carolina,11/17/2000,1,1,New England Patriots / 6th / 183rd pick / 2022,HarrKe01,NWE
39,Jamycal Hasty,27,RB,2,0,205,5-8,Baylor,9/12/1996,3,0,,HastJa02,NWE
85,Hunter Henry,29,TE,14,10,249,6-5,Arkansas,12/7/1994,7,3,San Diego Chargers / 2nd / 35th pick / 2016,HenrHu00,NWE
97,Trysten Hill,25,DT,1,0,310,6-3,Central Florida,3/25/1998,4,0,Dallas Cowboys / 2nd / 58th pick / 2019,HillTr00,NWE
29,J.C. Jackson,28,RCB,8,6,198,6-1,"Florida,Riverside CC,Maryland",11/17/1995,5,2,,JackJ.00,NWE
33,Anfernee Jennings,26,LB,15,14,255,6-2,Alabama,9/1/1997,3,8,New England Patriots / 3rd / 87th pick / 2020,JennAn00,NWE
13,Jack Jones,26,CB,5,0,175,5-11,"USC,Moorpark College,Arizona St.",12/20/1997,1,0,New England Patriots / 4th / 121st pick / 2022,JoneJa10,NWE
31,Jonathan Jones,30,DB,14,14,185,5-9,Auburn,9/20/1993,7,5,,JoneJo03,NWE
10,Mac Jones,25,QB,11,11,220,6-3,Alabama,9/5/1998,2,3,New England Patriots / 1st / 15th pick / 2021,JoneMa05,NWE
25,Marcus Jones,25,DB,2,1,188,5-8,"Troy,Houston",10/22/1998,1,1,New England Patriots / 3rd / 85th pick / 2022,JoneMa06,NWE
9,Matt Judon,31,LB,4,2,275,6-3,Grand Valley St.,8/15/1992,7,2,Baltimore Ravens / 5th / 146th pick / 2016,JudoMa00,NWE
59,Vederian Lowe,24,T,11,8,315,6-5,Illinois,4/17/1999,1,3,Minnesota Vikings / 6th / 184th pick / 2022,LoweVe00,NWE
68,Atonio Mafi,23,OL,17,5,330,6-3,UCLA,10/20/2000,Rook,2,New England Patriots / 5th / 144th pick / 2023,MafiAt00,NWE
30,Marte Mapu,24,LB,17,1,230,6-3,Sacramento St.,11/8/1999,Rook,2,New England Patriots / 3rd / 76th pick / 2023,MapuMa00,NWE
75,Conor McDermott,31,T,6,5,305,6-8,UCLA,10/19/1992,6,2,New England Patriots / 6th / 211th pick / 2017,McDeCo00,NWE
2,Jalen Mills,29,DB,17,8,200,6-0,LSU,4/6/1994,7,4,Philadelphia Eagles / 7th / 233rd pick / 2016,MillJa02,NWE
14,Ty Montgomery,30,RB,13,0,220,6-0,Stanford,1/22/1993,8,0,Green Bay Packers / 3rd / 94th pick / 2015,MontTy01,NWE
43,Calvin Munson,29,LB,3,0,240,6-1,San Diego St.,12/27/1994,6,0,,MunsCa00,NWE
71,Michael Onwenu,26,OL,15,15,350,6-3,Michigan,12/10/1997,3,4,New England Patriots / 6th / 182nd pick / 2020,OnweMi00,NWE
1,DeVante Parker,30,WR,13,13,215,6-3,Louisville,1/20/1993,8,2,Miami Dolphins / 1st / 14th pick / 2015,ParkDe01,NWE
5,Jabrill Peppers,28,DB,15,15,217,5-11,Michigan,10/4/1995,6,7,Cleveland Browns / 1st / 25th pick / 2017,PeppJa00,NWE
70,Jeremiah Pharms,27,DL,12,0,300,6-2,"Sacramento CC,Delta College,Friends",10/16/1996,1,1,,PharJe00,NWE
21,Adrian Phillips,31,DE,17,1,208,5-11,Texas,3/28/1992,9,1,,PhilAd00,NWE
83,Jalen Reagor,24,WR,11,1,197,5-11,TCU,1/2/1999,3,2,Philadelphia Eagles / 1st / 21st pick / 2020,ReagJa00,NWE
74,Riley Reiff,35,OL,1,0,310,6-6,Iowa,12/1/1988,11,0,Detroit Lions / 1st / 23rd pick / 2012,ReifRi00,NWE
96,Sam Roberts,25,DL,7,1,300,6-5,NW Missouri St.,4/14/1998,1,1,New England Patriots / 6th / 200th pick / 2022,RobeSa00,NWE
37,Chad Ryland,24,K,17,0,195,6-0,"Eastern Michigan,Maryland",10/15/1999,Rook,0,New England Patriots / 4th / 112th pick / 2023,RylaCh00,NWE
41,Brenden Schooler,26,DB,17,0,210,6-2,"Oregon,Texas",5/30/1997,1,2,,SchoBr00,NWE
18,Matthew Slater,38,WR,16,0,205,6-0,UCLA,9/9/1985,15,0,New England Patriots / 5th / 153rd pick / 2008,SlatMa00,NWE
7,JuJu Smith-Schuster,27,WR,11,7,215,6-1,USC,11/22/1996,6,2,Pittsburgh Steelers / 2nd / 62nd pick / 2017,SmitJu00,NWE
87,Matt Sokol,28,TE,3,1,249,6-5,Michigan St.,11/9/1995,3,0,,SokoMa00,NWE
62,Sidy Sow,25,RG,15,13,318,6-5,Eastern Michigan,6/28/1998,Rook,4,New England Patriots / 4th / 117th pick / 2023,SowxSi00,NWE
28,Ameer Speed,23,CB,5,0,215,6-3,"Georgia,Michigan St.",10/13/2000,Rook,0,New England Patriots / 6th / 214th pick / 2023,SpeeAm00,NWE
38,Rhamondre Stevenson,25,RB,12,12,227,6-0,"Cerritos (CA),Oklahoma",2/23/1998,2,4,New England Patriots / 4th / 120th pick / 2021,StevRh00,NWE
69,Cole Strange,25,OL,10,10,310,6-5,Chattanooga,7/31/1998,1,3,New England Patriots / 1st / 29th pick / 2022,StraCo01,NWE
48,Jahlani Tavai,27,LB,17,16,255,6-2,Hawaii,9/28/1996,4,10,Detroit Lions / 2nd / 43rd pick / 2019,TavaJa00,NWE
11,Tyquan Thornton,23,WR,9,3,185,6-2,Baylor,9/7/2000,1,1,New England Patriots / 2nd / 50th pick / 2022,ThorTy00,NWE
55,Josh Uche,25,LB,15,2,240,6-1,Michigan,9/18/1998,3,3,New England Patriots / 2nd / 60th pick / 2020,UcheJo00,NWE
26,Shaun Wade,25,CB,14,6,195,6-1,Ohio St.,9/15/1998,2,3,Baltimore Ravens / 5th / 160th pick / 2021,WadeSh00,NWE
72,Tyrone Wheatley Jr.,26,T,2,0,320,6-6,"Michigan,Stony Brook",2/4/1997,1,0,,WheaTy01,NWE
99,Keion White,24,DE,16,4,285,6-5,"Old Dominion,Georgia Tech",1/20/1999,Rook,3,New England Patriots / 2nd / 46th pick / 2023,WhitKe03,NWE
3,Mack Wilson,25,LB,17,1,246,6-1,Alabama,2/14/1998,4,2,Cleveland Browns / 5th / 155th pick / 2019,WilsMa03,NWE
19,Marco Wilson,24,CB,1,0,191,6-0,Florida,3/3/1999,2,0,Arizona Cardinals / 4th / 136th pick / 2021,WilsMa04,NWE
91,Deatrich Wise Jr.,29,DL,16,13,280,6-5,Arkansas,7/26/1994,6,8,New England Patriots / 4th / 131st pick / 2017,WiseDe00,NWE
4,Bailey Zappe,24,QB,10,6,215,6-1,"Houston Christian,Western Kentucky",4/26/1999,1,0,New England Patriots / 4th / 137th pick / 2022,ZappBa00,NWE
,Team Total,26.9,,17,,246.3,6-1.9,,,3.8,,,,NWE
