No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
25,Deonte Banks,22,CB,15,15,200,6-2,Maryland,3/3/2001,Rook,5,New York Giants / 1st / 24th pick / 2023,BankDe00,NYG
26,Saquon Barkley,26,RB,14,14,233,6-0,Penn St.,2/9/1997,5,6,New York Giants / 1st / 2nd pick / 2018,BarkSa00,NYG
45,Boogie Basham,26,OLB,13,0,274,6-3,Wake Forest,12/16/1997,2,1,Buffalo Bills / 2nd / 61st pick / 2021,BashCa00,NYG
43,Darrian Beavers,24,LB,2,0,255,6-4,"Connecticut,Cincinnati",7/5/1999,1,0,New York Giants / 6th / 182nd pick / 2022,BeavDa00,NYG
82,Daniel Bellinger,23,TE,17,13,255,6-6,San Diego St.,9/22/2000,1,2,New York Giants / 4th / 112th pick / 2022,BellDa00,NYG
24,Dane Belton,23,S,17,2,190,6-1,Iowa,12/7/2000,1,2,New York Giants / 4th / 114th pick / 2022,BeltDa00,NYG
68,Ben Bredeson,25,G,16,16,315,6-5,Michigan,2/20/1998,3,5,Baltimore Ravens / 4th / 143rd pick / 2020,BredBe00,NYG
31,Matt Breida,28,RB,17,4,195,5-10,Georgia Southern,2/28/1995,6,1,,BreiMa00,NYG
23,Gary Brightwell,24,RB,7,0,220,6-1,Arizona,2/28/1999,2,0,New York Giants / 6th / 196th pick / 2021,BrigGa00,NYG
47,Cam Brown,25,LB,16,0,230,6-5,Penn St.,4/1/1998,3,1,New York Giants / 6th / 183rd pick / 2020,BrowCa01,NYG
46,Randy Bullock,34,K,6,0,210,5-9,Texas A&M,12/16/1989,10,1,Houston Texans / 5th / 161st pick / 2012,BullRa00,NYG
83,Lawrence Cager,26,TE,11,0,220,6-5,Georgia,8/20/1997,3,0,,CageLa01,NYG
0,Parris Campbell,26,WR,12,3,208,6-0,Ohio St.,7/16/1997,4,1,Indianapolis Colts / 2nd / 59th pick / 2019,CampPa00,NYG
35,Jashaun Corbin,23,RB,6,0,203,5-11,"Texas A&M,Florida St.",8/20/2000,1,0,,CorbJa01,NYG
52,Carter Coughlin,26,LB,17,0,240,6-3,Minnesota,7/20/1997,3,1,New York Giants / 7th / 218th pick / 2020,CougCa00,NYG
21,Mason Crosby,39,K,3,0,207,6-1,Colorado,9/3/1984,16,0,Green Bay Packers / 6th / 193rd pick / 2007,CrosMa20,NYG
98,D.J. Davidson,24,DL,15,2,320,6-5,Arizona St.,12/16/1999,1,2,New York Giants / 5th / 147th pick / 2022,DaviDJ00,NYG
15,Tommy DeVito,25,QB,9,6,210,6-2,"Syracuse,Illinois",8/7/1998,Rook,4,,DeViTo00,NYG
75,Joshua Ezeudu,24,OL,6,5,310,6-4,North Carolina,9/19/1999,1,2,New York Giants / 3rd / 67th pick / 2022,EzeuJo00,NYG
28,Cordale Flott,22,CB,14,7,175,6-2,LSU,8/24/2001,1,3,New York Giants / 3rd / 81st pick / 2022,FlotCo00,NYG
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,NYG
49,Tomon Fox,25,OLB,1,0,245,6-2,North Carolina,3/16/1998,1,0,,FoxxTo00,NYG
9,Graham Gano,36,K,8,0,202,6-2,Florida St.,4/9/1987,14,0,,GanoGr44,NYG
6,Jamie Gillan,26,P,17,0,207,6-1,Ark-Pine Bluff,7/4/1997,4,2,,GillJa00,NYG
64,Mark Glowinski,31,RG,13,6,310,6-4,"Lackawanna,West Virginia",5/3/1992,8,2,Seattle Seahawks / 4th / 134th pick / 2015,GlowMa00,NYG
20,Eric Gray,24,RB,13,0,211,5-10,"Tennessee,Oklahoma",11/4/1999,Rook,0,New York Giants / 5th / 172nd pick / 2023,GrayEr01,NYG
65,Sean Harlow,28,OL,7,0,284,6-4,Oregon St.,3/28/1995,4,0,Atlanta Falcons / 4th / 136th pick / 2017,HarlSe00,NYG
37,Tre Hawkins,23,CB,17,3,195,6-3,"Trinity Valley CC (TX),Old Dominion",8/1/2000,Rook,2,New York Giants / 6th / 209th pick / 2023,HawkTr00,NYG
18,Isaiah Hodgins,25,WR,17,9,200,6-3,Oregon St.,10/21/1998,2,2,Buffalo Bills / 6th / 207th pick / 2020,HodgIs00,NYG
48,Justin Hollins,27,LB,1,0,248,6-5,Oregon,1/15/1996,4,0,Denver Broncos / 5th / 156th pick / 2019,HollJu00,NYG
30,Darnay Holmes,25,CB,16,0,195,5-10,UCLA,6/23/1998,3,1,New York Giants / 4th / 110th pick / 2020,HolmDa01,NYG
96,Timmy Horne,26,DL,1,0,323,6-4,"Charlotte,Kansas St.",10/25/1997,1,0,,HornTi00,NYG
13,Jalin Hyatt,22,WR,17,7,185,6-0,Tennessee,9/25/2001,Rook,3,New York Giants / 3rd / 73rd pick / 2023,HyatJa00,NYG
22,Adoree' Jackson,28,CB,14,14,185,5-11,USC,9/18/1995,6,5,Tennessee Titans / 1st / 18th pick / 2017,JackAd00,NYG
