No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
25,Israel Abanikanda,21,RB,6,0,216,5-10,Pittsburgh,10/5/2002,Rook,1,New York Jets / 5th / 143rd pick / 2023,AbanIs00,NYJ
22,Tony Adams,24,S,15,15,203,5-11,Illinois,1/24/1999,1,5,,AdamTo03,NYJ
0,Adrian Amos,30,DB,11,3,214,6-0,Penn St.,4/29/1993,8,1,Chicago Bears / 5th / 142nd pick / 2015,AmosAd00,NYJ
53,Zaire Barnes,24,LB,4,0,227,6-1,Western Michigan,9/3/1999,Rook,0,New York Jets / 6th / 184th pick / 2023,BarnZa00,NYJ
48,Nick Bawden,27,FB,16,2,245,6-2,San Diego St.,6/22/1996,4,0,Detroit Lions / 7th / 237th pick / 2018,BawdNi00,NYJ
77,Mekhi Becton,24,T,16,16,363,6-7,Louisville,4/18/1999,3,5,New York Jets / 1st / 11th pick / 2020,BectMe00,NYJ
29,Jarrick Bernard-Converse,23,S,8,0,205,6-1,"Oklahoma St.,LSU",4/29/2000,Rook,0,New York Jets / 6th / 204th pick / 2023,BernJa01,NYJ
7,Tim Boyle,29,QB,3,2,233,6-4,"Connecticut,Eastern Kentucky",10/3/1994,4,1,,BoylTi00,NYJ
76,Duane Brown,38,T,5,3,329,6-4,Virginia Tech,8/30/1985,15,1,Houston Texans / 1st / 26th pick / 2008,BrowDu20,NYJ
16,Jason Brownlee,24,WR,7,5,202,6-3,"East Mississippi CC,Southern Miss",1/30/1999,Rook,0,,BrowJa07,NYJ
30,Michael Carter II,24,CB,15,7,184,5-10,Duke,3/8/1999,2,3,New York Jets / 5th / 154th pick / 2021,CartMi02,NYJ
32,Michael Carter,24,RB,9,0,201,5-8,North Carolina,5/7/1999,2,1,New York Jets / 4th / 107th pick / 2021,CartMi03,NYJ
19,Irvin Charles,26,WR,12,0,219,6-4,"Penn St.,Indiana (PA)",4/13/1997,1,0,,CharIr00,NYJ
72,Micheal Clemons,26,DL,16,1,263,6-5,"Cisco (TX),Texas A&M",8/21/1997,1,2,New York Jets / 4th / 117th pick / 2022,ClemMi03,NYJ
18,Randall Cobb,33,WR,11,1,192,5-10,Kentucky,8/22/1990,12,0,Green Bay Packers / 2nd / 64th pick / 2011,CobbRa00,NYJ
83,Tyler Conklin,28,TE,17,12,248,6-3,Central Michigan,7/30/1995,5,4,Minnesota Vikings / 5th / 157th pick / 2018,ConkTy00,NYJ
33,Dalvin Cook,28,RB,15,1,210,5-10,Florida St.,8/10/1995,6,1,Minnesota Vikings / 2nd / 41st pick / 2017,CookDa01,NYJ
21,Ashtyn Davis,27,S,17,5,202,6-1,California,10/10/1996,3,3,New York Jets / 3rd / 68th pick / 2020,DaviAs00,NYJ
26,Brandin Echols,26,CB,14,1,179,5-10,"Northwest Mississippi CC,Kentucky",10/16/1997,2,2,New York Jets / 6th / 200th pick / 2021,EchoBr00,NYJ
52,Samuel Eguavoen,30,LB,15,0,236,6-1,Texas Tech,2/22/1993,4,1,,EguaSa00,NYJ
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,NYJ
91,John Franklin-Myers,27,DL,17,17,288,6-4,S.F. Austin,9/26/1996,5,8,Los Angeles Rams / 4th / 135th pick / 2018,FranJo02,NYJ
1,Sauce Gardner,23,CB,16,16,190,6-3,Cincinnati,8/31/2000,1,13,New York Jets / 1st / 4th pick / 2022,GardSa00,NYJ
82,Xavier Gipson,22,WR,17,3,189,5-9,S.F. Austin,3/8/2001,Rook,3,,GipsXa00,NYJ
63,Chris Glaser,24,OL,5,1,306,6-4,Virginia,10/1/1999,1,0,,GlasCh01,NYJ
20,Breece Hall,22,RB,17,16,217,5-11,Iowa St.,5/31/2001,1,8,New York Jets / 2nd / 36th pick / 2022,HallBr03,NYJ
37,Bryce Hall,26,CB,9,2,202,6-1,Virginia,11/5/1997,3,2,New York Jets / 5th / 158th pick / 2020,HallBr02,NYJ
62,Jake Hanson,26,OL,7,4,303,6-4,Oregon,4/29/1997,2,1,Green Bay Packers / 6th / 208th pick / 2020,HansJa00,NYJ
34,Justin Hardee,29,CB,11,0,200,6-1,Illinois,2/7/1994,6,1,,HardJu01,NYJ
6,Mecole Hardman,25,WR,5,0,187,5-10,Georgia,3/12/1998,4,0,Kansas City Chiefs / 2nd / 56th pick / 2019,HardMe00,NYJ
