No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
82,Devon Allen,29,WR,2,0,190,6-1,Oregon,12/12/1994,1,0,,AlleDe02,PHI
96,Derek Barnett,27,DE,8,0,259,6-3,Tennessee,6/25/1996,6,0,Philadelphia Eagles / 1st / 14th pick / 2017,BarnDe01,PHI
32,Reed Blankenship,24,S,15,15,203,6-1,Middle Tenn. St.,3/2/1999,1,4,,BlanRe00,PHI
24,James Bradberry,30,CB,16,16,210,6-1,"Arkansas St.,Samford",8/4/1993,7,4,Carolina Panthers / 2nd / 62nd pick / 2016,BradJa00,PHI
11,A.J. Brown,26,WR,17,17,226,6-1,Mississippi,6/30/1997,4,15,Tennessee Titans / 2nd / 51st pick / 2019,BrowAJ00,PHI
21,Sydney Brown,23,S,14,6,211,5-10,Illinois,3/21/2000,Rook,2,Philadelphia Eagles / 3rd / 66th pick / 2023,BrowSy00,PHI
31,Kevin Byard,30,SS,10,10,212,5-11,Middle Tenn. St.,8/17/1993,7,3,Tennessee Titans / 3rd / 64th pick / 2016,ByarKe01,PHI
81,Grant Calcaterra,25,TE,15,1,240,6-4,"Oklahoma,SMU",12/4/1998,1,0,Philadelphia Eagles / 6th / 198th pick / 2022,CalcGr00,PHI
98,Jalen Carter,22,DT,16,1,314,6-3,Georgia,4/4/2001,Rook,2,Philadelphia Eagles / 1st / 9th pick / 2023,CartJa05,PHI
18,Britain Covey,26,WR,16,0,173,5-8,Utah,3/18/1997,1,0,,CoveBr00,PHI
91,Fletcher Cox,33,LDT,15,15,310,6-4,Mississippi St.,12/13/1990,11,6,Philadelphia Eagles / 1st / 12th pick / 2012,CoxxFl00,PHI
52,Zach Cunningham,29,LB,13,10,238,6-3,Vanderbilt,12/12/1994,6,4,Houston Texans / 2nd / 57th pick / 2017,CunnZa00,PHI
90,Jordan Davis,23,DT,17,17,336,6-6,Georgia,1/12/2000,1,6,Philadelphia Eagles / 1st / 13th pick / 2022,DaviJo03,PHI
17,Nakobe Dean,23,LB,5,4,231,5-11,Georgia,12/13/2000,1,1,Philadelphia Eagles / 3rd / 83rd pick / 2022,DeanNa00,PHI
69,Landon Dickerson,25,G,16,16,332,6-6,"Florida St.,Alabama",9/30/1998,2,8,Philadelphia Eagles / 2nd / 37th pick / 2021,DickLa00,PHI
63,Jack Driscoll,26,T,17,1,312,6-5,"Massachusetts,Auburn",4/1/1997,3,2,Philadelphia Eagles / 4th / 145th pick / 2020,DrisJa00,PHI
26,Terrell Edmunds,26,S,7,3,217,6-1,Virginia Tech,1/20/1997,5,1,Pittsburgh Steelers / 1st / 28th pick / 2018,EdmuTe00,PHI
4,Jake Elliott,28,K,17,0,167,5-9,Memphis,1/21/1995,6,5,Cincinnati Bengals / 5th / 153rd pick / 2017,ElliJa03,PHI
53,Christian Elliss,24,LB,12,1,231,6-2,Idaho,1/2/1999,2,1,,ElliCh00,PHI
30,Justin Evans,28,S,4,4,199,6-0,"Mississippi Gulf Coast CC,Texas A&M",8/26/1995,6,1,Tampa Bay Buccaneers / 2nd / 50th pick / 2017,EvanJu00,PHI
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,PHI
14,Kenneth Gainwell,24,RB,16,2,200,5-9,Memphis,3/14/1999,2,5,Philadelphia Eagles / 5th / 150th pick / 2021,GainKe00,PHI
43,Mekhi Garner,23,CB,3,0,212,6-2,"Navarro,Louisiana,LSU",1/11/2000,Rook,0,,GarnMe00,PHI
88,Dallas Goedert,28,TE,14,14,256,6-5,South Dakota St.,1/3/1995,5,6,Philadelphia Eagles / 2nd / 49th pick / 2018,GoedDa00,PHI
31,Mario Goodrich,23,CB,4,1,186,6-0,Clemson,1/12/2000,1,0,,GoodMa02,PHI
