No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
57,Montravius Adams,28,DT,13,8,304,6-4,Auburn,7/24/1995,6,4,Green Bay Packers / 3rd / 93rd pick / 2017,AdamMo00,PIT
54,Kwon Alexander,29,LB,9,2,227,6-1,LSU,8/3/1994,8,2,Tampa Bay Buccaneers / 4th / 124th pick / 2015,AlexKw00,PIT
74,Spencer Anderson,23,OL,8,0,305,6-5,Maryland,6/7/2000,Rook,0,Pittsburgh Steelers / 7th / 251st pick / 2023,AndeSp00,PIT
19,Calvin Austin III,24,WR,17,1,162,5-9,Memphis,3/24/1999,1,2,Pittsburgh Steelers / 4th / 138th pick / 2022,AustCa00,PIT
95,Keeanu Benton,22,DL,17,9,309,6-4,Wisconsin,7/17/2001,Rook,4,Pittsburgh Steelers / 2nd / 49th pick / 2023,BentKe00,PIT
9,Chris Boswell,32,K,17,0,185,6-2,Rice,3/16/1991,8,4,,BoswCh00,PIT
13,Miles Boykin,27,WR,17,0,220,6-4,Notre Dame,10/12/1996,4,0,Baltimore Ravens / 3rd / 93rd pick / 2019,BoykMi00,PIT
49,Tariq Carpenter,25,LB,3,0,230,6-3,Georgia Tech,12/28/1998,1,0,Green Bay Packers / 7th / 228th pick / 2022,CarpTa00,PIT
61,Mason Cole,27,C,17,17,298,6-5,Michigan,3/28/1996,5,6,Arizona Cardinals / 3rd / 97th pick / 2018,ColeMa02,PIT
78,James Daniels,26,OL,15,15,327,6-4,Iowa,9/13/1997,5,5,Chicago Bears / 2nd / 39th pick / 2018,DaniJa01,PIT
82,Dez Fitzpatrick,26,WR,1,0,208,6-2,Louisville,12/17/1997,2,0,Tennessee Titans / 4th / 109th pick / 2021,FitzDe00,PIT
39,Minkah Fitzpatrick,27,S,10,10,207,6-1,Alabama,11/17/1996,5,6,Miami Dolphins / 1st / 11th pick / 2018,FitzMi00,PIT
88,Pat Freiermuth,25,TE,12,9,258,6-5,Penn St.,10/25/1998,2,3,Pittsburgh Steelers / 2nd / 55th pick / 2021,FreiPa00,PIT
44,Markus Golden,32,LB,16,0,260,6-2,Missouri,3/13/1991,8,2,Arizona Cardinals / 2nd / 58th pick / 2015,GoldMa00,PIT
22,Najee Harris,25,RB,17,17,242,6-1,Alabama,3/9/1998,2,7,Pittsburgh Steelers / 1st / 24th pick / 2021,HarrNa00,PIT
6,Pressley Harvin III,25,P,15,0,255,6-0,Georgia Tech,9/17/1998,2,1,Pittsburgh Steelers / 7th / 254th pick / 2021,HarvPr00,PIT
71,Nate Herbig,25,G,17,2,334,6-4,Stanford,7/10/1998,4,2,,HerbNa01,PIT
51,Nick Herbig,22,LB,17,0,240,6-2,Wisconsin,11/21/2001,Rook,2,Pittsburgh Steelers / 4th / 132nd pick / 2023,HerbNi00,PIT
97,Cameron Heyward,34,DT,11,11,295,6-5,Ohio St.,5/6/1989,12,5,Pittsburgh Steelers / 1st / 31st pick / 2011,HeywCa01,PIT
83,Connor Heyward,24,TE,17,7,230,6-0,Michigan St.,1/22/1999,1,1,Pittsburgh Steelers / 6th / 208th pick / 2022,HeywCo00,PIT
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,PIT
56,Alex Highsmith,26,LB,17,17,242,6-4,Charlotte,8/7/1997,3,9,Pittsburgh Steelers / 3rd / 102nd pick / 2020,HighAl02,PIT
55,Cole Holcomb,27,LB,8,8,240,6-1,North Carolina,7/30/1996,4,4,Washington Redskins / 5th / 173rd pick / 2019,HolcCo00,PIT
48,Godwin Igwebuike,29,RB,10,0,213,6-0,Northwestern,9/10/1994,5,0,,IgweGo00,PIT
16,Myles Jack,28,LB,3,1,244,6-1,UCLA,9/3/1995,7,1,Jacksonville Jaguars / 2nd / 36th pick / 2016,JackMy00,PIT
18,Diontae Johnson,27,WR,13,11,183,5-10,Toledo,7/5/1996,4,6,Pittsburgh Steelers / 3rd / 66th pick / 2019,JohnDi01,PIT
53,Kyron Johnson,25,LB,6,0,235,6-0,Kansas,7/24/1998,1,0,Philadelphia Eagles / 6th / 181st pick / 2022,JohnKy02,PIT
