No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
33,Jamal Adams,28,SS,9,9,213,6-1,LSU,10/17/1995,6,2,New York Jets / 1st / 6th pick / 2017,AdamJa00,SEA
95,Myles Adams,25,DT,11,1,290,6-2,Rice,3/9/1998,2,1,,AdamMy00,SEA
44,Nick Bellore,34,LB,16,0,250,6-1,Central Michigan,5/12/1989,12,3,,BellNi01,SEA
19,Jake Bobo,25,WR,17,0,207,6-4,"Duke,UCLA",8/4/1998,Rook,2,,BoboJa00,SEA
18,Lance Boykin,23,CB,1,0,198,6-2,"Old Dominion,Coastal Carolina",8/31/2000,Rook,0,,BoykLa00,SEA
70,Anthony Bradford,22,G,14,10,332,6-5,LSU,4/28/2001,Rook,4,Seattle Seahawks / 4th / 108th pick / 2023,BradAn00,SEA
56,Jordyn Brooks,26,RILB,16,16,240,6-0,Texas Tech,10/21/1997,3,6,Seattle Seahawks / 1st / 27th pick / 2020,BrooJo01,SEA
76,Ben Brown,25,G,1,0,313,6-5,Mississippi,5/19/1998,1,0,,BrowBe01,SEA
63,Evan Brown,27,C,16,16,320,6-3,SMU,9/16/1996,4,7,,BrowEv00,SEA
22,Tre Brown,26,CB,15,7,185,5-10,Oklahoma,9/24/1997,2,3,Seattle Seahawks / 4th / 137th pick / 2021,BrowTr03,SEA
8,Coby Bryant,24,CB,9,2,193,6-1,Cincinnati,3/29/1999,1,1,Seattle Seahawks / 4th / 109th pick / 2022,BryaCo01,SEA
23,Artie Burns,28,CB,14,1,187,6-0,Miami (FL),5/1/1995,7,1,Pittsburgh Steelers / 1st / 25th pick / 2016,BurnAr00,SEA
0,Devin Bush Jr.,25,LB,13,3,235,5-11,Michigan,7/18/1998,4,2,Pittsburgh Steelers / 1st / 10th pick / 2019,BushDe01,SEA
26,Zach Charbonnet,22,RB,16,2,214,6-1,"Michigan,UCLA",1/8/2001,Rook,5,Seattle Seahawks / 2nd / 52nd pick / 2023,CharZa00,SEA
57,Frank Clark,30,LB,6,0,272,6-3,Michigan,6/14/1993,8,0,Seattle Seahawks / 2nd / 63rd pick / 2015,ClarFr01,SEA
67,Charles Cross,23,T,14,14,311,6-5,Mississippi St.,11/25/2000,1,7,Seattle Seahawks / 1st / 9th pick / 2022,CrosCh00,SEA
74,Jake Curhan,25,T,10,4,316,6-6,California,7/9/1998,2,2,,CurhJa00,SEA
66,McClendon Curtis,24,G,1,0,325,6-6,Chattanooga,9/16/1999,Rook,0,,CurtMc00,SEA
31,DeeJay Dallas,25,RB,17,0,214,5-10,Miami (FL),9/16/1998,3,0,Seattle Seahawks / 4th / 144th pick / 2020,DallDe00,SEA
4,Michael Dickson,27,P,17,0,208,6-2,Texas,1/4/1996,5,3,Seattle Seahawks / 5th / 149th pick / 2018,DickMi00,SEA
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,SEA
6,Quandre Diggs,30,FS,17,17,197,5-9,Texas,1/22/1993,8,4,Detroit Lions / 6th / 200th pick / 2015,DiggQu00,SEA
89,Will Dissly,27,TE,16,14,265,6-4,Washington,7/8/1996,5,2,Seattle Seahawks / 4th / 120th pick / 2018,DissWi00,SEA
97,Mario Edwards,29,DE,15,1,280,6-3,Florida St.,1/25/1994,8,1,Oakland Raiders / 2nd / 35th pick / 2015,EdwaMa01,SEA
1,D'Wayne Eskridge,26,WR,4,0,190,5-9,Western Michigan,3/23/1997,2,0,Seattle Seahawks / 2nd / 56th pick / 2021,EskrDW00,SEA
87,Noah Fant,26,TE,17,17,249,6-4,Iowa,11/20/1997,4,4,Denver Broncos / 1st / 20th pick / 2019,FantNo00,SEA
64,Austin Faoliu,24,NT,2,0,305,6-3,Oregon,1/9/1999,2,0,,FaolAu00,SEA
78,Stone Forsythe,26,T,17,8,307,6-8,Florida,12/29/1997,2,5,Seattle Seahawks / 6th / 208th pick / 2021,ForsSt00,SEA
58,Derick Hall,22,OLB,17,0,254,6-3,Auburn,3/19/2001,Rook,1,Seattle Seahawks / 2nd / 37th pick / 2023,HallDe04,SEA
60,Phil Haynes,28,G,8,8,322,6-4,Wake Forest,10/19/1995,4,3,Seattle Seahawks / 4th / 124th pick / 2019,HaynPh00,SEA
30,Michael Jackson,26,CB,17,4,210,6-1,Miami (FL),1/10/1997,4,2,Dallas Cowboys / 5th / 158th pick / 2019,JackMi01,SEA
55,Dre'Mont Jones,26,DE,17,16,281,6-3,Ohio St.,1/5/1997,4,6,Denver Broncos / 3rd / 71st pick / 2019,JoneDr00,SEA
28,Kelvin Joseph,24,CB,1,0,195,6-1,"LSU,Kentucky",11/11/1999,2,0,Dallas Cowboys / 2nd / 44th pick / 2021,JoseKe02,SEA
28,Kyu Blu Kelly,22,CB,5,0,193,6-0,Stanford,5/22/2001,Rook,0,Baltimore Ravens / 5th / 157th pick / 2023,BluxKy00,SEA
68,Damien Lewis,26,G,16,16,327,6-2,LSU,3/21/1997,3,7,Seattle Seahawks / 3rd / 69th pick / 2020,LewiDa05,SEA
2,Drew Lock,27,QB,4,2,228,6-4,Missouri,11/10/1996,4,2,Denver Broncos / 2nd / 42nd pick / 2019,LockDr00,SEA
16,Tyler Lockett,31,WR,17,17,182,5-10,Kansas St.,9/28/1992,8,8,Seattle Seahawks / 3rd / 69th pick / 2015,LockTy00,SEA
20,Julian Love,25,S,17,12,195,5-11,Notre Dame,3/19/1998,4,6,New York Giants / 4th / 108th pick / 2019,LoveJu00,SEA
72,Abraham Lucas,25,T,6,6,322,6-6,Washington St.,10/25/1998,1,3,Seattle Seahawks / 3rd / 72nd pick / 2022,LucaAb00,SEA
53,Boye Mafe,25,LB,16,16,261,6-4,Minnesota,11/30/1998,1,6,Seattle Seahawks / 2nd / 40th pick / 2022,MafeBo00,SEA
25,Kenny McIntosh,23,RB,3,0,204,6-0,Georgia,3/3/2000,Rook,0,Seattle Seahawks / 7th / 237th pick / 2023,McInKe00,SEA
14,D.K. Metcalf,26,WR,16,16,235,6-4,Mississippi,12/14/1997,4,10,Seattle Seahawks / 2nd / 64th pick / 2019,MetcDK00,SEA
94,Mike Morris,22,DE,1,0,295,6-6,Michigan,4/22/2001,Rook,0,Seattle Seahawks / 5th / 151st pick / 2023,MorrMi00,SEA
5,Jason Myers,32,K,17,0,190,5-10,Marist,5/12/1991,8,3,,MyerJa00,SEA
10,Uchenna Nwosu,27,LB,6,6,251,6-2,USC,12/28/1996,5,2,Los Angeles Chargers / 2nd / 48th pick / 2018,NwosUc00,SEA
50,Patrick O'Connell,25,LB,1,0,227,6-1,"Univ. of Mary,Montana",12/31/1998,Rook,0,,OConPa01,SEA
79,Raiqwon O'Neal,23,T,3,0,305,6-4,"Rutgers,UCLA",1/12/2000,Rook,0,,ONeaRa00,SEA
39,Ty Okada,24,SS,5,0,193,5-11,Montana St.,6/4/1999,Rook,0,,OkadTy00,SEA
51,Olusegun Oluwatimi,24,C,16,1,309,6-3,"Air Force,Virginia,Michigan",8/5/1999,Rook,1,Seattle Seahawks / 5th / 154th pick / 2023,OluwOl00,SEA
84,Colby Parkinson,24,TE,17,1,265,6-7,Stanford,1/8/1999,3,2,Seattle Seahawks / 4th / 133rd pick / 2020,ParkCo02,SEA
70,Jason Peters,41,T,8,2,328,6-4,Arkansas,1/22/1982,19,1,,PeteJa21,SEA
90,Jarran Reed,31,DE,16,16,306,6-3,"East Mississippi CC,Alabama",12/16/1992,7,6,Seattle Seahawks / 2nd / 49th pick / 2016,ReedJa02,SEA
32,Jerrick Reed,23,S,10,0,196,5-9,"Northwest Mississippi CC,New Mexico",8/7/2000,Rook,0,Seattle Seahawks / 6th / 198th pick / 2023,ReedJe00,SEA
59,Jon Rhattigan,24,LB,17,0,236,6-0,Army,2/2/1999,2,1,,RhatJo00,SEA
38,Brady Russell,25,TE,15,0,250,6-3,Colorado,8/31/1998,Rook,0,,RussBr00,SEA
7,Geno Smith,33,QB,15,15,221,6-3,West Virginia,10/10/1990,10,12,New York Jets / 2nd / 39th pick / 2013,SmitGe00,SEA
92,Tyreke Smith,23,LB,1,0,255,6-3,Ohio St.,2/14/2000,1,0,Seattle Seahawks / 5th / 158th pick / 2022,SmitTy03,SEA
11,Jaxon Smith-Njigba,21,WR,17,3,197,6-0,Ohio St.,2/14/2002,Rook,6,Seattle Seahawks / 1st / 20th pick / 2023,SmitJa06,SEA
41,Chris Stoll,25,LS,17,0,255,6-2,Penn St.,8/3/1998,Rook,1,,StolCh00,SEA
36,Teez Tabor,28,S,1,0,201,6-0,Florida,12/31/1995,6,0,Detroit Lions / 2nd / 53rd pick / 2017,TaboTe00,SEA
52,Darrell Taylor,26,LB,17,5,267,6-4,Tennessee,3/24/1997,2,3,Seattle Seahawks / 2nd / 48th pick / 2020,TaylDa00,SEA
42,Drake Thomas,23,LB,7,0,228,5-11,North Carolina St.,2/25/2000,Rook,0,,ThomDr00,SEA
13,Cody Thompson,27,WR,7,0,205,6-2,Toledo,1/11/1996,2,0,,ThomCo04,SEA
29,SaRodorick Thompson,24,RB,1,0,215,6-0,Texas Tech,10/1/1999,Rook,0,,ThomSa00,SEA
54,Bobby Wagner,33,LB,17,16,241,6-0,Utah St.,6/27/1990,11,10,Seattle Seahawks / 2nd / 47th pick / 2012,WagnBo00,SEA
9,Kenneth Walker III,23,RB,15,15,211,5-9,"Wake Forest,Michigan St.",10/20/2000,1,8,Seattle Seahawks / 2nd / 41st pick / 2022,WalkKe00,SEA
99,Leonard Williams,29,DL,10,10,300,6-5,USC,6/20/1994,8,4,New York Jets / 1st / 6th pick / 2015,WillLe02,SEA
86,Easop Winston,27,WR,1,0,190,6-0,Washington St.,12/17/1996,2,0,,WinsEa00,SEA
21,Devon Witherspoon,23,CB,14,13,185,6-0,Illinois,12/11/2000,Rook,6,Seattle Seahawks / 1st / 5th pick / 2023,WithDe00,SEA
27,Riq Woolen,24,CB,16,15,210,6-4,Texas-San Antonio,5/2/1999,1,4,Seattle Seahawks / 5th / 153rd pick / 2022,WoolTa00,SEA
93,Cameron Young,23,DT,16,1,304,6-3,Mississippi St.,6/8/2000,Rook,1,Seattle Seahawks / 4th / 123rd pick / 2023,YounCa00,SEA
83,Dareke Young,24,WR,6,0,224,6-2,Lenoir-Rhyne,6/4/1999,1,0,Seattle Seahawks / 7th / 233rd pick / 2022,YounDa02,SEA
,Team Total,25.9,,17,,246.3,6-1.9,,,3.1,,,,SEA
