No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
11,Brandon Aiyuk,25,WR,16,16,200,6-0,Arizona St.,3/17/1998,3,15,San Francisco 49ers / 1st / 25th pick / 2020,AiyuBr00,SFO
91,Arik Armstead,30,LDT,12,12,290,6-7,Oregon,11/15/1993,8,5,San Francisco 49ers / 1st / 17th pick / 2015,ArmsAr01,SFO
65,Aaron Banks,26,OL,15,14,325,6-5,Notre Dame,9/3/1997,2,7,San Francisco 49ers / 2nd / 48th pick / 2021,BankAa00,SFO
78,Ben Bartch,25,OL,5,0,315,6-6,Saint John's (MN),7/22/1998,3,0,Jacksonville Jaguars / 4th / 116th pick / 2020,BartBe00,SFO
51,Robert Beal,24,DL,4,0,250,6-4,Georgia,8/18/1999,Rook,0,San Francisco 49ers / 5th / 173rd pick / 2023,BealRo00,SFO
10,Ronnie Bell,23,WR,17,0,190,6-0,Michigan,1/28/2000,Rook,1,San Francisco 49ers / 7th / 253rd pick / 2023,BellRo01,SFO
97,Nick Bosa,26,DL,17,17,266,6-4,Ohio St.,10/23/1997,4,11,San Francisco 49ers / 1st / 2nd pick / 2019,BosaNi00,SFO
64,Jake Brendel,31,OL,17,17,299,6-4,UCLA,9/10/1992,7,8,,BrenJa01,SFO
22,Anthony Brown,30,CB,2,0,192,5-11,Purdue,12/15/1993,7,0,Dallas Cowboys / 6th / 189th pick / 2016,BrowAn02,SFO
27,Ji'Ayir Brown,23,S,15,5,202,5-11,"Lackawanna,Penn St.",1/25/2000,Rook,2,San Francisco 49ers / 3rd / 87th pick / 2023,BrowJi01,SFO
40,Austin Bryant,27,DL,2,0,250,6-5,Clemson,11/12/1996,4,0,Detroit Lions / 4th / 117th pick / 2019,BryaAu00,SFO
74,Spencer Burford,23,OL,14,13,300,6-4,Texas-San Antonio,7/19/2000,1,6,San Francisco 49ers / 4th / 134th pick / 2022,BurfSp00,SFO
48,Oren Burks,28,LB,15,5,233,6-3,Vanderbilt,3/21/1995,5,3,Green Bay Packers / 3rd / 88th pick / 2018,BurkOr00,SFO
84,Chris Conley,31,WR,8,0,205,6-3,Georgia,10/25/1992,8,1,Kansas City Chiefs / 3rd / 76th pick / 2015,ConlCh00,SFO
14,Sam Darnold,26,QB,10,1,225,6-3,USC,6/5/1997,5,1,New York Jets / 1st / 3rd pick / 2018,DarnSa00,SFO
66,Jesse Davis,32,OL,1,0,309,6-6,Idaho,9/15/1991,6,0,,DaviJe00,SFO
93,Kalia Davis,25,DL,3,0,310,6-2,Central Florida,10/2/1998,1,0,San Francisco 49ers / 6th / 220th pick / 2022,DaviKa01,SFO
32,Tyrion Davis-Price,23,RB,1,0,219,6-1,LSU,10/23/2000,1,0,San Francisco 49ers / 3rd / 93rd pick / 2022,DaviTy03,SFO
82,Ross Dwelley,28,TE,12,0,235,6-5,San Diego,1/26/1995,5,0,,DwelRo00,SFO
55,Jon Feliciano,31,OL,16,7,325,6-4,Miami (FL),2/10/1992,8,4,Oakland Raiders / 4th / 128th pick / 2015,FeliJo00,SFO
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,SFO
94,Clelin Ferrell,26,DL,17,17,265,6-4,Clemson,5/17/1997,4,8,Oakland Raiders / 1st / 4th pick / 2019,FerrCl00,SFO
45,Demetrius Flannigan-Fowles,27,LB,16,1,223,6-2,Arizona,9/4/1996,3,1,,FlanDe00,SFO
31,Tashaun Gipson,33,S,16,16,212,5-11,Wyoming,8/7/1990,11,5,,GipsTa00,SFO
90,Kevin Givens,26,DL,17,1,285,6-1,Penn St.,3/1/1997,4,2,,GiveKe01,SFO
50,Jalen Graham,22,LB,4,0,220,6-3,Purdue,1/11/2001,Rook,0,San Francisco 49ers / 7th / 255th pick / 2023,GrahJa02,SFO
57,Dre Greenlaw,26,LB,15,15,230,6-0,Arkansas,5/25/1997,4,7,San Francisco 49ers / 5th / 148th pick / 2019,GreeDr00,SFO
5,Randy Gregory,31,LB,12,0,242,6-5,"Arizona Western,Nebraska",11/23/1992,8,1,Dallas Cowboys / 2nd / 60th pick / 2015,GregRa00,SFO
98,Javon Hargrave,30,DL,16,16,305,6-2,South Carolina St.,2/7/1993,7,10,Pittsburgh Steelers / 3rd / 89th pick / 2016,HargJa00,SFO
35,Erik Harris,33,S,3,0,225,6-2,California (PA),4/2/1990,7,0,,HarrEr00,SFO
41,Tayler Hawkins,26,S,1,1,205,6-1,San Diego St.,12/27/1997,1,0,,HawkTa01,SFO
29,Talanoa Hufanga,24,S,10,10,200,6-0,USC,2/2/1999,2,3,San Francisco 49ers / 5th / 180th pick / 2021,HufaTa00,SFO
92,Kerry Hyder,32,DE,4,0,275,6-2,Texas Tech,5/2/1991,8,0,,HydeKe01,SFO
95,Drake Jackson,22,DL,8,0,273,6-4,USC,4/12/2001,1,1,San Francisco 49ers / 2nd / 61st pick / 2022,JackDr01,SFO
38,Shemar Jean-Charles,25,CB,5,0,184,5-10,Appalachian St.,6/20/1998,2,0,Green Bay Packers / 5th / 178th pick / 2021,JeanSh00,SFO
15,Jauan Jennings,26,WR,13,2,212,6-3,Tennessee,7/10/1997,2,3,San Francisco 49ers / 7th / 217th pick / 2020,JennJa00,SFO
69,Sebastian Joseph-Day,28,DT,2,0,310,6-4,Rutgers,3/21/1995,4,0,Los Angeles Rams / 6th / 195th pick / 2018,JoseSe00,SFO
44,Kyle Juszczyk,32,FB,17,16,235,6-2,Harvard,4/23/1991,10,1,Baltimore Ravens / 4th / 130th pick / 2013,JuszKy00,SFO
99,Javon Kinlaw,26,DT,17,6,319,6-5,South Carolina,10/3/1997,3,4,San Francisco 49ers / 1st / 14th pick / 2020,KinlJa00,SFO
85,George Kittle,30,TE,16,16,250,6-4,Iowa,10/9/1993,6,11,San Francisco 49ers / 5th / 146th pick / 2017,KittGe00,SFO
2,Deommodore Lenoir,24,DB,17,17,200,5-10,Oregon,10/6/1999,2,5,San Francisco 49ers / 5th / 172nd pick / 2021,LenoDe00,SFO
61,Corey Luciano,25,OL,2,0,307,6-4,"Diablo Valley College,Washington",8/14/1998,Rook,0,,LuciCo00,SFO
28,Darrell Luter,23,CB,7,0,190,6-0,"Pearl River CC,South Alabama",4/24/2000,Rook,0,San Francisco 49ers / 5th / 155th pick / 2023,LuteDa00,SFO
