No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
2,Azeez Al-Shaair,26,LILB,17,17,228,6-2,Florida Atlantic,8/4/1997,4,8,,AlShAz00,TEN
96,Denico Autry,33,LDE,17,14,285,6-5,"East Mississippi CC,Mississippi St.",7/15/1990,9,8,,AutrDe00,TEN
23,Tre Avery,26,CB,15,2,185,5-11,"Toledo,Rutgers",2/26/1997,1,1,,AverTr01,TEN
90,Ross Blacklock,25,DT,3,0,290,6-3,TCU,7/9/1998,3,0,Houston Texans / 2nd / 40th pick / 2020,BlacRo00,TEN
97,Quinton Bohanna,24,DL,3,1,360,6-4,Kentucky,3/16/1999,2,1,Dallas Cowboys / 6th / 192nd pick / 2021,BohaQu00,TEN
55,Aaron Brewer,26,C,17,17,295,6-1,Texas St.,10/28/1997,3,6,,BrewAa01,TEN
44,Mike Brown,24,S,9,1,218,6-1,Miami (OH),4/7/1999,1,1,,BrowMi02,TEN
60,Daniel Brunskill,29,OL,14,14,300,6-5,San Diego St.,1/27/1994,4,5,,BrunDa00,TEN
16,Treylon Burks,23,WR,11,9,225,6-2,Arkansas,3/23/2000,1,2,Tennessee Titans / 1st / 18th pick / 2022,BurkTr00,TEN
31,Kevin Byard,30,SS,6,6,212,5-11,Middle Tenn. St.,8/17/1993,7,2,Tennessee Titans / 3rd / 64th pick / 2016,ByarKe01,TEN
45,Chance Campbell,24,LB,4,0,232,6-2,"Maryland,Mississippi",10/8/1999,1,0,Tennessee Titans / 6th / 219th pick / 2022,CampCh02,TEN
28,Shyheim Carter,26,DB,3,0,194,5-10,Alabama,12/15/1997,1,0,,CartSh01,TEN
36,Julius Chestnut,23,RB,3,0,228,5-11,Sacred Heart,10/26/2000,1,0,,ChesJu00,TEN
91,Keondre Coburn,23,DL,4,0,332,6-2,Texas,5/23/2000,Rook,0,Kansas City Chiefs / 6th / 194th pick / 2023,CobuKe00,TEN
46,Morgan Cox,37,LS,17,0,233,6-4,Tennessee,4/26/1986,13,1,,CoxxMo00,TEN
53,Tae Crowder,26,LB,2,0,235,6-3,Georgia,3/12/1997,3,0,New York Giants / 7th / 255th pick / 2020,CrowTa00,TEN
29,Dane Cruikshank,28,DB,2,0,209,6-1,Arizona,4/27/1995,5,0,Tennessee Titans / 5th / 152nd pick / 2018,CruiDa00,TEN
92,Marlon Davidson,25,DL,5,3,303,6-3,Auburn,5/11/1998,3,2,Atlanta Falcons / 2nd / 47th pick / 2020,DaviMa01,TEN
71,Andre Dillard,28,T,16,10,315,6-5,Washington St.,10/3/1995,4,5,Philadelphia Eagles / 1st / 22nd pick / 2019,DillAn00,TEN
47,JoJo Domann,26,LB,5,0,230,6-1,Nebraska,7/28/1997,1,0,,DomaJo00,TEN
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,TEN
14,Colton Dowell,24,WR,10,1,212,6-3,UT Martin,4/19/1999,Rook,0,Tennessee Titans / 7th / 228th pick / 2023,DoweCo00,TEN
79,Jaelyn Duncan,23,OL,10,5,306,6-6,Maryland,7/8/2000,Rook,2,Tennessee Titans / 6th / 186th pick / 2023,DuncJa00,TEN
38,Terrell Edmunds,26,S,9,1,217,6-1,Virginia Tech,1/20/1997,5,1,Pittsburgh Steelers / 1st / 28th pick / 2018,EdmuTe00,TEN
6,Nick Folk,39,K,17,0,225,6-1,Arizona,11/5/1984,16,5,Dallas Cowboys / 6th / 178th pick / 2007,FolkNi20,TEN
26,Kristian Fulton,25,CB,12,11,197,5-11,LSU,9/3/1998,3,4,Tennessee Titans / 2nd / 61st pick / 2020,FultKr00,TEN
33,Eric Garror,23,DB,12,4,174,5-8,Louisiana,3/31/2000,Rook,2,,GarrEr00,TEN
