No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional,Team
58,Tucker Addington,26,LS,3,0,230,6-2,Sam Houston St.,7/16/1997,1,0,,AddiTu00,WAS
62,Alex Akingbulu,26,T,2,0,300,6-5,"UCLA,Fresno St.",12/28/1997,1,0,,AkinAl00,WAS
93,Jonathan Allen,28,DT,16,16,300,6-3,Alabama,1/16/1995,6,6,Washington Redskins / 1st / 17th pick / 2017,AlleJo01,WAS
92,Abdullah Anderson,27,DL,7,0,295,6-4,Bucknell,1/24/1996,4,1,,AndeAb00,WAS
40,Alex Armah,29,RB,8,0,255,6-1,West Georgia,5/17/1994,6,0,Carolina Panthers / 6th / 192nd pick / 2017,ArmaAl00,WAS
57,Cody Barton,27,LB,13,13,237,6-2,Utah,11/13/1996,4,5,Seattle Seahawks / 3rd / 88th pick / 2019,BartCo00,WAS
87,John Bates,26,TE,17,4,259,6-6,Boise St.,11/6/1997,2,1,Washington Football Team / 4th / 124th pick / 2021,BateJo00,WAS
12,Jacoby Brissett,31,QB,3,0,235,6-4,"Florida,North Carolina St.",12/11/1992,7,1,New England Patriots / 3rd / 91st pick / 2016,BrisJa00,WAS
2,Dyami Brown,24,WR,17,1,195,6-0,North Carolina,11/1/1999,2,1,Washington Football Team / 3rd / 82nd pick / 2021,BrowDy00,WAS
32,Terrell Burgess,25,S,12,1,202,5-11,Utah,11/12/1998,3,1,Los Angeles Rams / 3rd / 104th pick / 2020,BurgTe00,WAS
35,Percy Butler,23,S,15,13,191,6-0,Louisiana,5/29/2000,1,3,Washington Commanders / 4th / 113th pick / 2022,ButlPe00,WAS
26,Tariq Castro-Fields,24,CB,8,1,197,6-1,Penn St.,1/14/1999,1,1,San Francisco 49ers / 6th / 221st pick / 2022,CastTa00,WAS
48,Sean Chandler,27,DB,2,1,200,5-10,Temple,4/27/1996,5,0,,ChanSe00,WAS
77,Saahdiq Charles,24,OL,11,10,322,6-4,LSU,7/26/1999,3,4,Washington Football Team / 4th / 108th pick / 2020,CharSa00,WAS
54,Camaron Cheeseman,25,LS,14,0,237,6-4,Michigan,4/26/1998,2,1,Washington Football Team / 6th / 225th pick / 2021,CheeCa00,WAS
76,Samuel Cosmi,24,T,17,17,309,6-6,Texas,2/16/1999,2,8,Washington Football Team / 2nd / 51st pick / 2021,CosmSa00,WAS
41,Jabril Cox,25,LB,10,0,233,6-3,"North Dakota St.,LSU",4/16/1998,2,1,Dallas Cowboys / 4th / 115th pick / 2021,CoxxJa00,WAS
83,Jamison Crowder,30,WR,17,0,177,5-9,Duke,6/17/1993,8,1,Washington Redskins / 4th / 105th pick / 2015,CrowJa00,WAS
31,Kamren Curl,24,S,16,16,205,6-2,Arkansas,3/31/1999,3,4,Washington Football Team / 7th / 216th pick / 2020,CurlKa00,WAS
52,Jamin Davis,25,LB,13,13,234,6-3,Kentucky,12/12/1998,2,5,Washington Football Team / 1st / 19th pick / 2021,DaviJa11,WAS
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,WAS
1,Jahan Dotson,23,WR,17,16,182,5-11,Penn St.,3/22/2000,1,4,Washington Commanders / 1st / 16th pick / 2022,DotsJa00,WAS
13,Emmanuel Forbes,22,CB,14,6,180,6-0,Mississippi St.,1/13/2001,Rook,2,Washington Commanders / 1st / 16th pick / 2023,ForbEm00,WAS
22,Darrick Forrest,24,S,5,5,200,5-11,Cincinnati,5/22/1999,2,1,Washington Football Team / 5th / 163rd pick / 2021,ForrDa00,WAS
29,Kendall Fuller,28,CB,15,15,198,5-11,Virginia Tech,2/13/1995,7,5,Washington Redskins / 3rd / 84th pick / 2016,FullKe00,WAS
63,Nick Gates,28,C,13,10,312,6-5,Nebraska,11/27/1995,4,4,,GateNi00,WAS
24,Antonio Gibson,25,RB,16,2,228,6-0,"East Central CC (MS),Memphis",6/23/1998,3,5,Washington Football Team / 3rd / 66th pick / 2020,GibsAn00,WAS
61,Julian Good-Jones,26,G,1,0,313,6-5,Iowa St.,3/2/1997,1,0,,GoodJu00,WAS
38,Derrick Gore,29,RB,6,0,212,5-10,"Alabama,La-Monroe",12/13/1994,2,0,,GoreDe00,WAS
45,De'Jon Harris,26,LB,8,0,245,6-0,Arkansas,11/1/1997,3,0,,HarrDe10,WAS
56,Jalen Harris,24,DE,5,0,257,6-4,Arizona,2/26/1999,Rook,0,,HarrJa04,WAS
55,K.J. Henry,24,DE,10,3,255,6-4,Clemson,1/27/1999,Rook,2,Washington Commanders / 5th / 137th pick / 2023,HenrKJ00,WAS
34,Christian Holmes,26,CB,13,0,205,6-1,"Missouri,Oklahoma St.",9/14/1997,1,1,Washington Commanders / 7th / 240th pick / 2022,HolmCh00,WAS
14,Sam Howell,23,QB,17,17,220,6-1,North Carolina,9/16/2000,1,11,Washington Commanders / 5th / 144th pick / 2022,HoweSa00,WAS
47,Khaleke Hudson,26,LB,17,8,220,6-0,Michigan,12/6/1997,3,3,Washington Football Team / 5th / 162nd pick / 2020,HudsKh00,WAS
36,Danny Johnson,28,CB,13,0,190,5-9,Southern,11/17/1995,5,1,,JohnDa09,WAS
50,Andre Jones,25,DE,14,2,258,6-5,Louisiana,10/25/1998,Rook,1,Washington Commanders / 7th / 233rd pick / 2023,JoneAn02,WAS
36,Kyu Blu Kelly,22,CB,2,0,193,6-0,Stanford,5/22/2001,Rook,0,Baltimore Ravens / 5th / 157th pick / 2023,BluxKy00,WAS
69,Tyler Larsen,32,C,14,7,335,6-4,Utah St.,7/8/1991,7,3,,LarsTy00,WAS
72,Charles Leno Jr.,32,LT,13,13,302,6-3,Boise St.,10/9/1991,9,6,Chicago Bears / 7th / 246th pick / 2014,LenoCh00,WAS
78,Cornelius Lucas,32,T,17,4,327,6-8,Kansas St.,7/18/1991,9,3,,LucaCo01,WAS
20,Quan Martin,23,DB,16,5,195,6-0,Illinois,4/17/2000,Rook,2,Washington Commanders / 2nd / 47th pick / 2023,MartJa04,WAS
98,Phidarian Mathis,25,DT,10,0,312,6-4,Alabama,4/26/1998,1,1,Washington Commanders / 2nd / 47th pick / 2022,MathPh00,WAS
51,David Mayo,30,LB,17,5,240,6-2,Texas St.,8/18/1993,8,3,Carolina Panthers / 5th / 169th pick / 2015,MayoDa00,WAS
17,Terry McLaurin,28,WR,17,17,210,6-0,Ohio St.,9/15/1995,4,8,Washington Redskins / 3rd / 76th pick / 2019,McLaTe00,WAS
97,Efe Obada,31,DE,5,0,265,6-6,None,4/13/1992,5,0,,ObadEf00,WAS
75,Chris Paul,25,G,10,7,324,6-4,Tulsa,11/19/1998,1,3,Washington Commanders / 7th / 230th pick / 2022,PaulCh00,WAS
94,Daron Payne,26,DT,17,17,320,6-3,Alabama,5/27/1997,5,7,Washington Redskins / 1st / 13th pick / 2018,PaynDa00,WAS
79,Benning Potoa'e,27,DT,1,0,290,6-3,Washington,9/17/1996,3,0,,PotoBe00,WAS
3,Byron Pringle,30,WR,17,1,203,6-1,Kansas St.,11/17/1993,4,1,,PrinBy00,WAS
59,Joshua Pryor,24,DE,7,0,280,6-4,Bowie St.,10/25/1999,Rook,0,,PryoJo00,WAS
39,Jeremy Reaves,27,S,5,0,200,5-11,South Alabama,8/29/1996,5,0,,ReavJe00,WAS
91,John Ridgeway,24,DT,17,2,321,6-5,"Illinois St.,Arkansas",5/7/1999,1,2,Dallas Cowboys / 5th / 178th pick / 2022,RidgJo00,WAS
8,Brian Robinson Jr.,24,RB,15,15,228,6-1,Alabama,3/22/1999,1,7,Washington Commanders / 3rd / 98th pick / 2022,RobiBr01,WAS
23,Chris Rodriguez,23,RB,13,0,224,5-11,Kentucky,9/26/2000,Rook,2,Washington Commanders / 6th / 193rd pick / 2023,RodrCh00,WAS
4,Curtis Samuel,27,WR,16,13,195,5-11,Ohio St.,8/11/1996,6,5,Carolina Panthers / 2nd / 40th pick / 2017,SamuCu00,WAS
73,Trenton Scott,29,T,10,2,320,6-5,Grambling St.,1/25/1994,5,1,,ScotTr01,WAS
6,Joey Slye,27,K,17,0,213,5-11,Virginia Tech,4/10/1996,4,2,,SlyeJo00,WAS
96,James Smith-Williams,26,DE,13,7,265,6-3,North Carolina St.,7/29/1997,3,3,Washington Football Team / 7th / 229th pick / 2020,SmitJa08,WAS
25,Benjamin St-Juste,26,CB,16,16,200,6-3,"Michigan,Minnesota",9/8/1997,2,4,Washington Football Team / 3rd / 74th pick / 2021,StJuBe00,WAS
53,Ricky Stromberg,23,C,4,0,313,6-4,Arkansas,11/10/2000,Rook,0,Washington Commanders / 3rd / 97th pick / 2023,StroRi01,WAS
90,Montez Sweat,27,LDE,8,8,262,6-6,"Michigan St.,Copiah-Lincoln CC,Mississippi St.",9/4/1996,4,3,Washington Redskins / 1st / 26th pick / 2019,SweaMo00,WAS
82,Logan Thomas,32,TE,16,15,250,6-6,Virginia Tech,7/1/1991,9,4,Arizona Cardinals / 4th / 120th pick / 2014,ThomLo00,WAS
86,Mitchell Tinsley,24,WR,2,0,205,6-1,"Hutchinson (KS),Western Kentucky,Penn St.",9/15/1999,Rook,0,,TinsMi00,WAS
95,Casey Toohill,27,DE,16,8,254,6-5,Stanford,8/21/1996,3,4,Philadelphia Eagles / 7th / 233rd pick / 2020,ToohCa00,WAS
85,Cole Turner,23,TE,12,1,240,6-6,Nevada,3/16/2000,1,1,Washington Commanders / 5th / 149th pick / 2022,TurnCo00,WAS
5,Tress Way,33,P,17,0,220,6-1,Oklahoma,4/18/1990,9,2,,WayxTr00,WAS
37,Nick Whiteside,23,CB,2,0,200,6-1,Saginaw Valley St.,5/1/2000,Rook,0,,WhitNi02,WAS
0,Jace Whittaker,28,CB,1,0,185,5-11,Arizona,7/16/1995,3,0,,WhitJa05,WAS
18,Jonathan Williams,29,RB,1,0,217,6-0,Arkansas,2/2/1994,7,0,Buffalo Bills / 5th / 156th pick / 2016,WillJo07,WAS
71,Andrew Wylie,29,OL,15,15,309,6-6,Eastern Michigan,8/19/1994,5,6,,WyliAn00,WAS
99,Chase Young,24,RDE,7,6,265,6-5,Ohio St.,4/14/1999,3,2,Washington Football Team / 1st / 2nd pick / 2020,YounCh04,WAS
