Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Player-additional
1,Leonard Williams,29,2TM,NT,18,17,0,0,0,0,2,0,0,0,0,0,5.5,62,37,25,10,16,0,,WillLe02
1,Leonard Williams,29,NYG,NT,8,7,0,0,0,0,1,0,0,0,0,0,1.5,21,13,8,1,5,0,,WillLe02
1,Leonard Williams,29,SEA,DL,10,10,0,0,0,0,1,0,0,0,0,0,4.0,41,24,17,9,11,0,,WillLe02
2,Azeez Al-Shaair,26,TEN,LILB,17,17,0,0,0,0,4,0,0,1,0,0,2.0,163,84,79,9,6,0,,AlShAz00
3,Josh Allen,27,BUF,QB,17,17,0,0,0,0,0,0,7,1,-4,0,0.0,0,0,0,0,0,0,"AP MVP-5,AP OPoY-6",AlleJo02
4,Zach Allen,26,DEN,DE,17,17,0,0,0,0,1,1,0,0,0,0,5.0,60,27,33,8,24,0,,AlleZa01
5,David Andrews,31,NWE,C,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,AndrDa00
6,Jessie Bates III,26,ATL,S,17,17,6,95,1,92,11,3,0,0,0,0,0.0,132,89,43,3,1,0,"PB,AP-2",BateJe00
7,Terrel Bernard,24,BUF,LB,17,17,3,2,0,2,5,0,0,3,-1,0,6.5,143,84,59,10,9,0,,BernTe00
8,Andrew Billings,28,CHI,DL,17,17,0,0,0,0,0,0,0,0,0,0,0.0,27,12,15,3,2,0,,BillAn00
9,Nick Bosa,26,SFO,DL,17,17,0,0,0,0,4,2,0,1,-3,0,10.5,53,34,19,16,35,0,PB,BosaNi00
10,A.J. Brown,26,PHI,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,"PB,AP-2",BrowAJ00
11,Derrick Brown,25,CAR,DT,17,17,1,2,0,2,6,0,0,0,0,0,2.0,103,57,46,7,15,0,PB,BrowDe05
12,Orlando Brown Jr.,27,CIN,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,BrowOr00
13,Camryn Bynum,25,MIN,S,17,17,2,0,0,0,9,3,0,0,0,0,0.5,137,94,43,2,1,0,,BynuCa00
14,Calais Campbell,37,ATL,DL,17,17,0,0,0,0,1,1,0,1,0,0,6.5,56,32,24,10,17,1,,CampCa99
15,Derek Carr,32,NOR,QB,17,17,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,0,0,0,,CarrDe02
16,Damone Clark,23,DAL,LB,17,17,0,0,0,0,3,0,0,1,0,0,0.0,109,70,39,4,3,0,,ClarDa02
17,Kenny Clark,28,GNB,DL,17,17,0,0,0,0,3,2,0,0,0,0,7.5,44,22,22,9,16,0,PB,ClarKe01
18,Mason Cole,27,PIT,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,ColeMa02
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,
19,Zaven Collins,24,ARI,LB,17,17,1,1,0,1,3,0,0,1,0,0,3.5,41,27,14,6,6,0,,CollZa00
20,Jonathon Cooper,25,DEN,OLB,17,17,1,4,0,4,2,1,0,2,35,1,8.5,72,44,28,8,13,0,,CoopJo02
21,Maxx Crosby,26,LVR,DE,17,17,0,0,0,0,2,2,0,1,0,0,14.5,90,55,35,23,31,0,"PB,AP-2,AP DPoY-4",CrosMa00
22,Demario Davis,34,NOR,MLB,17,17,0,0,0,0,4,1,0,1,20,0,6.5,121,74,47,12,11,0,"PB,AP-2",DaviDe00
23,Gabriel Davis,24,BUF,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,DaviGa01
24,Jordan Davis,23,PHI,DT,17,17,0,0,0,0,1,1,0,0,0,0,2.5,45,18,27,2,5,0,,DaviJo03
25,Quandre Diggs,30,SEA,FS,17,17,1,21,0,21,5,0,0,0,0,0,0.0,95,63,32,1,0,0,,DiggQu00
26,Stefon Diggs,30,BUF,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB,DiggSt00
27,Kyle Dugger,27,NWE,DB,17,17,2,35,0,20,7,1,0,0,0,0,1.5,109,71,38,6,5,0,,DuggKy00
28,Samson Ebukam,28,IND,DE,17,17,0,0,0,0,1,3,0,0,0,0,9.5,57,39,18,10,17,0,,EbukSa00
29,T.J. Edwards,27,CHI,LB,17,17,3,4,0,2,7,1,0,2,0,0,2.5,155,91,64,8,8,0,,EdwaTJ02
30,Kaden Elliss,28,ATL,LB,17,17,0,0,0,0,3,0,0,0,0,0,4.0,122,82,40,11,6,0,,ElliKa00
31,Marcus Epps,27,LVR,S,17,17,0,0,0,0,3,1,0,1,1,0,0.0,66,41,25,4,0,0,,EppsMa00
32,Mike Evans,30,TAM,WR,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2",EvanMi00
33,Clelin Ferrell,26,SFO,DL,17,17,0,0,0,0,1,1,0,1,0,0,3.5,28,15,13,6,13,0,,FerrCl00
34,Luke Fortner,25,JAX,OL,17,17,0,0,0,0,0,0,2,0,-8,0,0.0,0,0,0,0,0,0,,FortLu01
35,John Franklin-Myers,27,NYJ,DL,17,17,0,0,0,0,3,0,0,0,0,0,3.5,33,15,18,6,14,0,,FranJo02
36,Hjalte Froholdt,27,ARI,OL,17,17,0,0,0,0,0,0,1,1,-11,0,0.0,0,0,0,0,0,0,,FrohHj00
37,Jordan Fuller,25,LAR,DB,17,17,3,39,0,21,8,3,0,0,0,0,0.0,94,61,33,1,0,0,,FullJo01
38,Stephon Gilmore,33,DAL,CB,17,17,2,0,0,0,13,1,0,0,0,0,0.0,68,54,14,0,0,0,,GilmSt00
39,Davon Godchaux,29,NWE,DL,17,17,0,0,0,0,0,0,0,1,0,0,0.0,56,24,32,2,1,0,,GodcDa00
40,Jared Goff,29,DET,QB,17,17,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,,GoffJa00
41,Carl Granderson,27,NOR,DE,17,17,0,0,0,0,1,1,0,1,0,0,8.5,78,44,34,14,20,0,,GranCa01
42,Robert Hainsey,25,TAM,C,17,17,0,0,0,0,0,0,1,2,2,0,0.0,0,0,0,0,0,0,,HainRo00
