Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Green Bay Packers,17,173,1099,38.7,9.8,6.4,32.9,Own 27.7,2:59,1.99
2,San Francisco 49ers,17,174,1071,33.9,15.5,6.2,29.6,Own 26.2,2:49,1.71
3,Philadelphia Eagles,17,175,1131,41.1,9.7,6.5,34.6,Own 29.1,2:53,2.35
4,Arizona Cardinals,17,175,1091,44.0,8.6,6.2,34.5,Own 31.6,2:59,2.49
5,Tennessee Titans,17,176,1143,43.2,6.8,6.5,32.3,Own 27.9,3:02,1.98
6,Dallas Cowboys,17,178,1040,32.0,14.6,5.8,28.5,Own 27.3,2:42,1.75
7,Kansas City Chiefs,17,179,1071,28.5,9.5,6.0,27.4,Own 28.7,2:48,1.50
8,Buffalo Bills,17,181,1044,32.0,16.0,5.8,28.8,Own 27.1,2:40,1.67
9,Seattle Seahawks,17,183,1182,40.4,10.4,6.5,34.4,Own 27.3,3:06,2.20
10,Tampa Bay Buccaneers,17,183,1114,34.4,14.2,6.1,32.0,Own 27.1,2:50,1.78
11,Carolina Panthers,17,183,1042,37.7,5.5,5.7,27.3,Own 31.6,2:41,2.09
12,Denver Broncos,17,184,1111,40.2,13.0,6.0,34.0,Own 28.4,2:48,2.16
13,Chicago Bears,17,184,1068,34.2,14.7,5.8,29.8,Own 29.9,2:35,1.88
14,Detroit Lions,17,185,1067,37.3,12.4,5.8,30.8,Own 27.1,2:39,2.05
15,Los Angeles Rams,17,185,1116,36.8,8.1,6.0,30.8,Own 29.6,2:43,1.92
16,Las Vegas Raiders,17,185,1119,33.0,11.4,6.0,30.4,Own 26.2,2:53,1.77
17,Minnesota Vikings,17,186,1131,37.1,11.3,6.1,30.5,Own 30.1,2:51,1.91
18,Miami Dolphins,17,187,1078,32.1,13.9,5.8,28.9,Own 28.6,2:43,1.86
19,Cincinnati Bengals,17,187,1090,38.5,13.4,5.8,34.0,Own 28.3,2:43,2.01
20,Washington Commanders,17,188,1153,46.8,9.0,6.1,35.0,Own 31.1,2:46,2.53
Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
21,Los Angeles Chargers,17,189,1140,36.0,10.1,6.0,32.6,Own 29.4,2:49,2.01
22,Pittsburgh Steelers,17,190,1111,33.7,14.2,5.8,30.5,Own 29.2,2:43,1.68
23,Houston Texans,17,190,1115,34.7,11.1,5.9,29.6,Own 28.5,2:45,1.80
24,Atlanta Falcons,17,195,1131,37.9,8.2,5.8,28.0,Own 29.9,2:41,1.86
25,Jacksonville Jaguars,17,195,1104,32.3,12.8,5.7,29.8,Own 28.5,2:35,1.83
26,Baltimore Ravens,17,195,1144,28.7,14.4,5.9,26.2,Own 27.7,2:34,1.35
27,New Orleans Saints,17,196,1089,31.6,14.3,5.6,28.3,Own 26.9,2:30,1.60
28,New York Giants,17,199,1123,35.2,14.1,5.6,30.9,Own 29.1,2:37,1.96
29,New England Patriots,17,203,1129,31.5,7.9,5.6,25.2,Own 31.7,2:41,1.60
30,Indianapolis Colts,17,203,1178,38.9,11.8,5.8,29.1,Own 29.5,2:39,2.01
31,New York Jets,17,211,1123,31.8,11.8,5.3,23.4,Own 29.8,2:30,1.58
32,Cleveland Browns,17,222,1028,24.8,11.7,4.6,20.7,Own 29.9,2:07,1.43
,League Total,,6019,35376,35.5,11.6,5.9,29.9,Own 28.8,2:43,1.88
