Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
1,Dallas Cowboys,17,,,9,9,15,13,4,4,10,10,38,36,60,94.7%,52,49,94.2%,109,7068,99,90.8%,64.8
2,Baltimore Ravens,17,,,10,10,10,10,12,11,5,1,37,32,50,86.5%,52,51,98.1%,104,6638,80,76.9%,63.8
3,Miami Dolphins,17,,,6,6,7,7,8,6,7,5,28,24,57,85.7%,59,58,98.3%,98,6327,83,84.7%,64.6
4,San Francisco 49ers,17,,,7,7,9,8,6,4,3,2,25,21,57,84.0%,61,60,98.4%,97,6131,58,59.8%,63.2
5,Los Angeles Rams,17,,,11,11,7,7,15,9,10,5,43,32,54,74.4%,37,32,86.5%,92,5865,80,87.0%,63.8
6,Buffalo Bills,17,,,4,4,13,12,6,4,6,4,29,24,54,82.8%,50,49,98.0%,95,5952,53,55.8%,62.7
7,Philadelphia Eagles,17,,,9,9,8,7,7,7,8,7,32,30,61,93.8%,46,45,97.8%,91,5846,73,80.2%,64.2
8,Indianapolis Colts,17,,,9,9,10,9,9,7,13,8,41,33,57,80.5%,36,35,97.2%,93,5960,72,77.4%,64.1
9,New Orleans Saints,17,,,12,10,6,6,10,8,9,6,37,30,55,81.1%,40,40,100.0%,91,5828,76,83.5%,64.0
10,Seattle Seahawks,17,,,8,8,12,11,14,12,8,4,42,35,55,83.3%,33,33,100.0%,86,5430,55,64.0%,63.1
11,Detroit Lions,17,,,3,2,13,13,3,3,2,1,21,19,52,90.5%,52,48,92.3%,93,5818,60,64.5%,62.6
12,Kansas City Chiefs,17,,,8,8,15,13,7,7,5,5,35,33,60,94.3%,38,38,100.0%,85,5565,74,87.1%,65.5
13,Green Bay Packers,17,,,6,6,14,14,8,4,5,3,33,27,53,81.8%,39,34,87.2%,86,5466,37,43.0%,63.6
14,Jacksonville Jaguars,17,,,4,4,10,10,13,11,10,5,37,30,56,81.1%,35,35,100.0%,86,5421,65,75.6%,63.0
15,Houston Texans,17,,,13,13,13,13,4,3,8,5,38,34,54,89.5%,33,31,93.9%,87,5424,56,64.4%,62.3
Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
16,Cincinnati Bengals,17,,,5,5,6,6,8,8,12,7,31,26,56,83.9%,40,40,100.0%,82,5162,63,76.8%,63.0
17,Chicago Bears,17,,,9,9,11,11,10,8,8,7,38,35,55,92.1%,33,31,93.9%,89,5624,71,79.8%,63.2
18,Cleveland Browns,17,,,8,8,8,8,13,10,8,8,37,34,58,91.9%,33,30,90.9%,92,5805,54,58.7%,63.1
19,Los Angeles Chargers,17,,,7,7,8,8,9,9,9,7,33,31,55,93.9%,35,35,100.0%,81,5168,68,84.0%,63.8
20,Minnesota Vikings,17,1,1,7,7,9,9,6,3,7,4,30,24,54,80.0%,38,36,94.7%,80,5131,61,76.3%,64.1
21,Atlanta Falcons,17,,,10,10,10,10,11,9,6,3,37,32,54,86.5%,28,27,96.4%,79,5128,66,83.5%,64.9
22,Denver Broncos,17,,,11,11,13,12,5,4,5,3,34,30,52,88.2%,31,29,93.5%,82,5190,71,86.6%,63.3
23,Tampa Bay Buccaneers,17,,,8,8,12,12,3,2,8,7,31,29,57,93.5%,33,33,100.0%,82,5124,52,63.4%,62.5
24,Las Vegas Raiders,17,,,10,10,7,6,10,9,3,1,30,26,54,86.7%,32,32,100.0%,78,4977,48,61.5%,63.8
25,Tennessee Titans,17,,,9,9,9,9,6,6,6,5,30,29,53,96.7%,30,28,93.3%,72,4508,34,47.2%,62.6
26,Pittsburgh Steelers,17,,,9,9,7,7,8,7,7,6,31,29,57,93.5%,28,27,96.4%,76,4833,55,72.4%,63.6
27,Washington Commanders,17,,,3,2,7,7,9,7,5,3,24,19,61,79.2%,35,32,91.4%,72,4520,64,88.9%,62.8
28,New York Jets,17,,,8,8,11,10,14,13,6,5,39,36,55,92.3%,17,16,94.1%,73,4651,62,84.9%,63.7
29,New York Giants,17,,,4,4,9,7,11,6,7,5,31,22,57,71.0%,25,24,96.0%,65,4110,38,58.5%,63.2
30,Arizona Cardinals,17,,,6,6,8,7,7,6,12,9,33,28,62,84.8%,23,22,95.7%,79,4842,66,83.5%,61.3
31,New England Patriots,17,,,4,4,7,5,10,5,4,2,25,16,56,64.0%,25,24,96.0%,61,3830,39,63.9%,62.8
32,Carolina Panthers,17,,,6,6,7,7,9,7,8,5,30,25,56,83.3%,20,17,85.0%,62,3749,37,59.7%,60.5
,Avg Team,,,,7.6,7.5,9.7,9.2,8.6,6.8,7.2,4.9,33.1,28.5,55.8,85.9%,36.5,35.0,95.9%,,,,,
,League Total,,1,1,243,239,311,294,275,219,230,158,1060,911,,85.9%,1169,1121,95.9%,2698,171091,1970,73.0%,63.4
,Avg Tm/G,,,,0.4,0.4,0.6,0.5,0.5,0.4,0.4,0.3,1.9,1.7,,85.9%,2.1,2.1,95.9%,,,,,
