Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Baltimore Ravens,17,541,2661,26,60,4.9,156.5,23,61.67
2,Chicago Bears,17,534,2399,16,39,4.5,141.1,24,32.23
3,San Francisco 49ers,17,499,2389,27,72,4.8,140.5,16,52.83
4,Arizona Cardinals,17,471,2365,17,49,5.0,139.1,21,45.18
5,Detroit Lions,17,500,2311,27,75,4.6,135.9,18,27.22
6,Miami Dolphins,17,456,2308,27,76,5.1,135.8,24,8.35
7,Buffalo Bills,17,512,2212,22,42,4.3,130.1,20,68.28
8,Philadelphia Eagles,17,510,2190,22,43,4.3,128.8,22,32.05
9,Atlanta Falcons,17,522,2159,14,38,4.1,127.0,24,-36.48
10,Indianapolis Colts,17,479,2059,19,56,4.3,121.1,21,-6.31
11,Los Angeles Rams,17,477,2045,18,56,4.3,120.3,11,20.42
12,Cleveland Browns,17,518,2017,15,69,3.9,118.6,27,-28.94
13,Pittsburgh Steelers,17,487,2010,16,74,4.1,118.2,21,-1.90
14,Dallas Cowboys,17,468,1920,14,46,4.1,112.9,13,14.42
15,Green Bay Packers,17,441,1905,10,40,4.3,112.1,23,-8.99
16,New York Giants,17,454,1874,10,36,4.1,110.2,24,-45.15
17,Tennessee Titans,17,444,1846,16,69,4.2,108.6,19,-11.10
18,Denver Broncos,17,451,1810,8,38,4.0,106.5,21,-0.05
19,Kansas City Chiefs,17,417,1784,9,48,4.3,104.9,20,-4.58
20,Carolina Panthers,17,445,1769,7,48,4.0,104.1,24,-17.40
Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
21,New Orleans Saints,17,480,1742,13,29,3.6,102.5,13,-26.28
22,New York Jets,17,388,1647,7,83,4.2,96.9,32,-46.03
23,Houston Texans,17,444,1647,10,24,3.7,96.9,17,-45.90
24,Jacksonville Jaguars,17,453,1646,17,62,3.6,96.8,28,-47.39
25,Los Angeles Chargers,17,431,1642,11,55,3.8,96.6,25,-42.46
26,New England Patriots,17,415,1627,9,64,3.9,95.7,19,-23.64
27,Washington Commanders,17,359,1592,14,29,4.4,93.6,20,6.89
28,Seattle Seahawks,17,382,1580,11,45,4.1,92.9,8,-10.43
29,Minnesota Vikings,17,393,1553,7,31,4.0,91.4,26,-16.84
30,Las Vegas Raiders,17,413,1542,11,63,3.7,90.7,14,-39.32
31,Cincinnati Bengals,17,383,1527,12,44,4.0,89.8,10,-5.50
32,Tampa Bay Buccaneers,17,439,1509,8,38,3.4,88.8,21,-41.34
,Avg Team,,456.4,1915.2,14.7,51,4.2,112.7,20.3,-4.3
,League Total,,14606,61287,470,83,4.2,112.7,649,
,Avg Tm/G,,26.8,112.7,0.9,,4.2,112.7,1.2,
